,timestamp,pg_views,rolling_avg,pg_view_action,pg_view_christmas,pg_view_halloween,pg_view_valentine,pg_view_comedy,pg_view_romance,horror
205,2007-06-22 15:42:00,78,65.0,16,0,0,0,17,11,3
206,2007-06-23 15:42:00,69,72.0,16,0,1,0,17,9,5
207,2007-06-24 15:42:00,138,95.0,30,1,3,0,33,16,9
208,2007-06-25 15:42:00,47,84.66666666666667,12,1,1,0,9,6,3
209,2007-06-26 15:42:00,77,87.33333333333331,21,0,2,0,18,13,6
210,2007-06-27 15:42:00,98,74.0,22,5,1,0,22,15,2
211,2007-06-28 15:42:00,78,84.33333333333333,22,1,0,0,9,7,2
212,2007-06-29 15:42:00,42,72.66666666666667,12,0,0,0,10,6,2
213,2007-06-30 15:42:00,66,62.0,25,1,0,0,24,10,7
214,2007-07-01 15:42:00,43,50.33333333333334,15,0,1,0,8,2,1
215,2007-07-02 15:42:00,63,57.33333333333334,12,1,0,0,9,11,1
216,2007-07-03 15:42:00,78,61.33333333333334,20,0,2,0,12,7,11
217,2007-07-04 15:42:00,57,66.0,12,0,0,0,11,9,3
218,2007-07-05 15:42:00,80,71.66666666666667,14,3,0,0,7,6,3
219,2007-07-06 15:42:00,87,74.66666666666667,29,0,0,0,26,12,7
220,2007-07-07 15:42:00,52,73.0,12,0,0,0,13,8,4
221,2007-07-08 15:42:00,68,69.0,20,0,0,0,11,6,3
222,2007-07-09 15:42:00,57,59.0,9,0,0,0,15,4,0
223,2007-07-10 15:42:00,63,62.66666666666666,25,0,0,0,17,8,5
224,2007-07-11 15:42:00,48,56.0,11,2,0,0,10,4,0
225,2007-07-12 15:42:00,91,67.33333333333333,17,1,1,0,13,10,4
226,2007-07-13 15:42:00,51,63.33333333333334,16,0,2,0,14,12,3
227,2007-07-14 15:42:00,115,85.66666666666667,32,0,1,0,25,11,12
228,2007-07-15 15:42:00,117,94.33333333333331,32,0,0,0,18,9,6
229,2007-07-16 15:42:00,89,107.0,21,2,0,0,22,16,6
230,2007-07-17 15:42:00,82,96.0,19,0,2,0,22,14,3
231,2007-07-18 15:42:00,97,89.33333333333331,16,1,3,0,15,16,5
232,2007-07-19 15:42:00,61,80.0,8,0,0,0,5,5,1
233,2007-07-20 15:42:00,74,77.33333333333333,17,1,0,0,12,13,6
234,2007-07-21 15:42:00,60,65.0,22,0,0,0,19,10,4
235,2007-07-22 15:42:00,46,60.0,7,1,0,0,5,8,2
236,2007-07-23 15:42:00,133,79.66666666666667,37,0,2,0,38,21,8
237,2007-07-24 15:42:00,57,78.66666666666667,30,0,0,0,16,10,6
238,2007-07-25 15:42:00,66,85.33333333333333,10,2,5,0,14,12,3
239,2007-07-26 15:42:00,43,55.33333333333334,4,1,0,0,7,10,1
240,2007-07-27 15:42:00,131,80.0,42,4,0,0,29,20,15
241,2007-07-28 15:42:00,83,85.66666666666667,8,1,0,0,7,8,5
242,2007-07-29 15:42:00,139,117.66666666666669,34,0,4,0,29,14,14
243,2007-07-30 15:42:00,50,90.66666666666669,16,1,0,0,7,9,4
244,2007-07-31 15:42:00,37,75.33333333333333,10,3,3,0,11,10,0
245,2007-08-01 15:42:00,42,43.0,10,0,0,0,9,5,4
246,2007-08-02 15:42:00,80,53.0,16,1,1,0,17,11,7
247,2007-08-03 15:42:00,61,61.0,13,2,2,0,14,9,1
248,2007-08-04 15:42:00,63,68.0,18,0,0,0,18,10,2
249,2007-08-05 15:42:00,48,57.33333333333334,28,0,0,0,12,9,5
250,2007-08-06 15:42:00,106,72.33333333333333,39,1,0,0,28,15,13
251,2007-08-07 15:42:00,35,63.0,13,0,0,0,9,9,4
252,2007-08-08 15:42:00,79,73.33333333333333,12,1,1,0,16,9,8
253,2007-08-09 15:42:00,86,66.66666666666667,24,2,0,0,18,11,4
254,2007-08-10 15:42:00,77,80.66666666666667,26,1,0,0,15,14,4
255,2007-08-11 15:42:00,46,69.66666666666667,11,2,1,0,10,3,2
256,2007-08-12 15:42:00,42,55.0,7,1,0,0,7,4,5
257,2007-08-13 15:42:00,33,40.333333333333336,7,0,0,0,7,9,2
