,unnamed: 0,unnamed: 0,mth_day,fantasy world,fantasy world_norm,fantasy world_ravg
108,108,108,04-18,0.8791381600303179,2.002586227744678,0.2113424519637024
109,109,109,04-19,0.30507245424050083,-1.743057044666037,0.32319482140037165
110,110,110,04-20,0.5489577062208207,-0.15176332322095182,0.3621111447999516
111,111,111,04-21,0.6319153384320865,0.3895156520833447,0.10453589278389047
112,112,112,04-22,0.674635024764588,0.6682515251672109,-0.3419061978302793
113,113,113,04-23,0.4897135167067155,-0.5383176804049024,0.2092953540899136
114,114,114,04-24,0.4686018512518946,-0.6760663159403406,0.3521715239520395
115,115,115,04-25,0.8119427858594348,1.5641522668551209,0.5120616363697369
116,116,116,04-26,0.6803428435561095,0.7054936959518032,0.17164532452042205
117,117,117,04-27,0.7789460462038981,1.3488563265895293,0.18062103054803846
118,118,118,04-28,0.36159721078445023,-1.374246345928678,0.4530432178994907
119,119,119,04-29,0.4979673379720641,-0.484463444239204,0.22300826562610665
120,120,120,04-30,0.7191140712595382,0.9584668081683728,0.3139014831379329
121,121,121,05-01,0.6004087432999216,0.18394255321481606,-0.09705532681847323
122,122,122,05-02,0.7639258362774396,1.2508530010227614,0.3814356110160307
123,123,123,05-03,0.4010410605992452,-1.116884533148908,0.3101165586195503
124,124,124,05-04,0.8016047896672206,1.4966992810783462,0.0480893077741457
125,125,125,05-05,0.4323842284669839,-0.9123777586180865,0.2391720678565237
126,126,126,05-06,0.4781607592332368,-0.6136966969040548,0.02167095815665188
127,127,127,05-07,0.7761233827674813,1.3304391137090839,0.3800375248223493
128,128,128,05-08,0.5639175830041937,-0.054153657176469326,0.04100846268793645
129,129,129,05-09,0.7305854529439185,1.033314866845277,0.17576072806617996
130,130,130,05-10,0.4898426537409291,-0.5374750917281312,0.3754725902612543
131,131,131,05-11,0.5562988386503785,-0.10386416634862523,0.026538340427702683
132,132,132,05-12,0.6618104921964499,0.584574476266391,-0.0021681390557258735
133,133,133,05-13,0.4552526988766203,-0.7631663852922256,-0.09149063914652353
134,134,134,05-14,0.5375198656452914,-0.22639253407704066,-0.024662733342695864
135,135,135,05-15,0.6484468503142037,0.4973798663004911,0.1354977404436832
136,136,136,05-16,0.5512958239255613,-0.13650765690516534,-0.010419361226545465
137,137,137,05-17,0.7035781635679932,0.8570986763696491,0.11022317875699876
138,138,138,05-18,0.5276289946030414,-0.290928133754981,0.14138592937991568
139,139,139,05-19,0.5661923797171113,-0.03931114539096023,-0.018708657862206584
140,140,140,05-20,0.5661763048141765,-0.03941603033953909,-0.18869697595339568
141,141,141,05-21,0.5012281129156559,-0.4631876571522425,-0.3983420525071182
142,142,142,05-22,0.3949790739779832,-1.1564375654522996,-0.3214488950574807
143,143,143,05-23,0.5107941100672736,-0.4007717829526862,-0.12375317198933627
144,144,144,05-24,0.598337903313385,0.170430810942844,0.08701459543849005
145,145,145,05-25,0.7479881245986567,1.1468631930179058,0.4182820124594348
146,146,146,05-26,0.7599927550737225,1.225190574227419,0.8201437509955462
147,147,147,05-27,0.8058528458015045,1.524416844973426,0.7957384316290442
148,148,148,05-28,0.7645204730672442,1.2547328657643684,0.7562299198203517
149,149,149,05-29,0.4883516255033769,-0.5472036991516978,0.5870660977272949
150,150,150,05-30,0.5620069234522433,-0.06662025990931117,0.7516576419167563
151,151,151,05-31,0.5924295593088248,0.13188026045956575,0.5064561567507214
152,152,152,06-01,0.911346774840822,2.2127398393641875,0.36222760152368577
153,153,153,06-02,0.5803720617460232,0.05320793397721702,0.4757346196421641
154,154,154,06-03,0.6318917180099072,0.3893615344021541,0.7094468803683192
155,155,155,06-04,0.5927296696405232,0.13383840955917192,0.7735410448390677
156,156,156,06-05,0.7769225213583043,1.335653304447619,0.3247388431190503
157,157,157,06-06,0.6513688534507807,0.5164452472840569,0.4367823514726733
158,158,158,06-07,0.4986401704695959,-0.4800733709559164,0.234608048135836
159,159,159,06-08,0.683404301109479,0.7254689840989547,0.4757633804875896
160,160,160,06-09,0.44597758946622174,-0.8236842856188695,0.19736526355814246
161,161,161,06-10,0.8144897188547997,1.5807704036696937,0.057777081134584275
162,162,162,06-11,0.5209149949670382,-0.3347353971290638,0.017841975193539222
163,163,163,06-12,0.52300726218052,-0.3210838472572921,0.10038585484467877
164,164,164,06-13,0.4619169059558096,-0.7196840066021867,0.5405341382442045
165,165,165,06-14,0.7593094641231424,1.2207322620057919,0.2280909222406345
166,166,166,06-15,0.8507262800151263,1.8172054147782848,0.7823834180408291
167,167,167,06-16,0.5271752220865732,-0.2938888923517263,0.6540918103405251
168,168,168,06-17,1.030627676619302,2.991019577672103,0.406821880099548
169,169,169,06-18,0.405033701488524,-1.090833493459116,-0.006719722797587036
170,170,170,06-19,0.2345340346558001,-2.203303588048049,-0.2068036151216326
171,171,171,06-20,0.3790275714679389,-1.2605173553770184,-0.11328904415984598
172,172,172,06-21,0.6667344380099719,0.6167020608340114,-0.7146437682206708
173,173,173,06-22,0.6131687419333134,0.26719853341899336,-0.556670134659997
174,174,174,06-23,0.4776378177492108,-0.6171087666928461,-0.11843133176336873
175,175,175,06-24,0.5503020661203059,-0.14299169209507367,0.1103618619692402
176,176,176,06-25,0.6375268175655631,0.4261292293317213,-0.04101002589895747
177,177,177,06-26,0.5894197257995242,0.11224180701863533,-0.2995900840249442
178,178,178,06-27,0.5275368636667008,-0.29152926637517473,-0.3810328596844676
179,179,179,06-28,0.3753853769268613,-1.284281815336927,-0.2115310777470824
180,180,180,06-29,0.4027452007696308,-1.1057654206499865,-0.4126594836651342
181,181,181,06-30,0.7061714103217208,0.8740189995292373,-0.5962208678840194
182,182,182,07-01,0.4525744685554299,-0.7806412061765896,-0.6692627749718708
183,183,183,07-02,0.4206215441410513,-0.9891264982946759,-0.5664555762537818
184,184,184,07-03,0.4603694626702337,-0.7297807089022833,-0.5014631610742125
185,185,185,07-04,0.4699241508572298,-0.6674386230283929,-0.31887219533955546
