,unnamed: 0,unnamed: 0,mth_day,prostitution,prostitution_norm,prostitution_ravg
121,121,121,05-01,1.2493432189815306,-1.536869093049885,-0.9086528544887432
122,122,122,05-02,1.557965361009067,-0.6079439635971468,-0.9724026473746784
123,123,123,05-03,1.6449193764163519,-0.3462201304074952,-0.6908407260845074
124,124,124,05-04,1.3885387442540158,-1.11790297323905,-0.4305740778531361
125,125,125,05-05,1.8522029100658184,0.2776848236044305,-0.04573651305037596
126,126,126,05-06,2.00839426310397,0.7478068695703286,0.07228140256013141
127,127,127,05-07,2.016484013108134,0.7721562957666758,-0.006833491473448074
128,128,128,05-08,1.7932239890201171,0.10016353006589744,0.4500351529171731
129,129,129,05-09,1.4872105969543763,-0.8209094946089721,0.35419724622283805
130,130,130,05-10,2.299267339184705,1.6233088931046769,0.21160748098092189
131,131,131,05-11,1.6611582341475384,-0.2973426165615796,0.14903818671930796
132,132,132,05-12,1.7241537529602344,-0.10773172188116834,0.1857719112973767
133,133,133,05-13,1.8917574726717896,0.3967405301969921,0.20029797282745795
134,134,134,05-14,1.8664495294075023,0.32056587753430965,-0.25054156942507666
135,135,135,05-15,1.516167059100762,-0.7337531254284847,-0.1462376738451543
136,136,136,05-16,1.400557244070822,-1.0817283604105306,0.03753310246731064
137,137,137,05-17,1.8690791353378635,0.3284807569179545,0.09537970271467362
138,138,138,05-18,2.0904850890133093,0.9948929359936212,0.3670978685279944
139,139,139,05-19,2.007069726230068,0.7438201316811701,0.3268626144195391
140,140,140,05-20,2.4080964697406,1.9508748724142333,0.28300550611097913
141,141,141,05-21,1.4359615188633743,-0.9751646500792162,0.39379562707188015
142,142,142,05-22,1.3131318470382614,-1.3448710102618902,0.3632195806955876
143,143,143,05-23,2.0899297724602777,0.9932214826833604,0.2537337274654919
144,144,144,05-24,2.0295343538365525,0.8114366577358664,-0.0067540454649614255
145,145,145,05-25,1.788819035355823,0.08690501230059539,0.13252040551380662
146,146,146,05-26,1.8888363577799672,0.3879482348315139,0.4472701543871877
147,147,147,05-27,1.7135932333768962,-0.13951794420660796,0.2123927464619504
148,148,148,05-28,1.9405585703770496,0.5436274829783959,0.24609167874045856
149,149,149,05-29,1.6217217342701546,-0.4160429648680633,0.17412051076910473
150,150,150,05-30,2.0967102951524765,1.013630251406915,0.06264139064149866
151,151,151,05-31,1.6453506632387165,-0.3449219955275275,-0.2040642535061264
152,152,152,06-01,1.666612259706126,-0.28092648593412245,-0.2082788610234285
153,153,153,06-02,1.1819383265740224,-1.739751809092358,-0.12716493238087254
154,154,154,06-03,1.9321571105055009,0.5183398378745833,-0.2875061212527246
155,155,155,06-04,1.7834154183715791,0.0706406069872722,-0.2589425970718221
156,156,156,06-05,1.7770838391816324,0.05158311817580258,-0.07226826361625399
157,157,157,06-06,1.7022896074252658,-0.17354085044211232,0.2503890816077377
158,158,158,06-07,2.038731588762674,0.8391195147992861,0.20212914548451386
159,159,159,06-08,1.8251281673910884,0.19619226225159225,0.247016758461136
160,160,160,06-09,1.8359550525254176,0.22878022113523996,0.3878974612368775
161,161,161,06-10,1.8728950383847205,0.3399662848470052,0.3622910372654073
162,162,162,06-11,2.0579174793692467,0.896867334830251,0.4571947939470015
163,163,163,06-12,1.6512453897686967,-0.3271793942709332,0.8371390725849309
164,164,164,06-13,2.2279141164705147,1.4085420548888514,0.952501252288922
165,165,165,06-14,2.58251461376762,2.475857934079169,1.2173681412110244
166,166,166,06-15,2.0659196979873378,0.9209532993591852,1.41888581002142
167,167,167,06-16,2.4008845438002977,1.9291676183796205,1.7192274806341634
168,168,168,06-17,2.4596257288250443,2.105973347692624,1.6511540920206198
169,169,169,06-18,2.249950840524938,1.4748706294055274,1.4409158602242533
170,170,170,06-19,2.092215634367688,1.0001017232075895,1.477669238865732
171,171,171,06-20,2.1634226673286103,1.214428543300971,1.4455434254353852
172,172,172,06-21,2.1391844170703367,1.1414735712080566,1.0062685749772908
173,173,173,06-22,2.3368444804568176,1.7364127377975391,0.8135715365075908
