,unnamed: 0,unnamed: 0,mth_day,bollywood,bollywood_norm,bollywood_ravg
300,300,300,10-27,0.1071840728747782,0.8875638758188277,0.3416569202074737
301,301,301,10-28,0.08212967396640887,0.4259804251757532,0.34308199646394705
302,302,302,10-29,0.1066109218263004,0.8770045708575062,0.2611319367782727
303,303,303,10-30,0.10470473265391617,0.8418863714951712,0.1430341814030819
304,304,304,10-31,1.9032394707859823e-16,-1.0871150774643863,-0.11312283516073365
305,305,305,11-01,1.9032394707859823e-16,-1.0871150774643863,-0.28266922109130416
306,306,306,11-02,0.023760023760023948,-0.6493782235640657,-0.6100224958116195
307,307,307,11-03,0.026912580104069644,-0.5912978904076699,-0.6157811542552808
308,308,308,11-04,1.8239378261699e-16,-1.0871150774643863,-0.31033670811124553
309,309,309,11-05,0.10282927903065224,0.8073344208332038,-0.0920690926739045
310,310,310,11-06,0.09947575443673566,0.7455515993998248,0.027787426846421208
311,311,311,11-07,0.07108440172619196,0.2224906151596597,-0.054848770996364926
312,312,312,11-08,0.06279434850863436,0.06976089355788863,-0.05484877099636498
313,313,313,11-09,1.5860328923216515e-16,-1.0871150774643867,-0.33089362955010104
314,314,314,11-10,1.5860328923216515e-16,-1.0871150774643867,-0.3719249326960121
315,315,315,11-11,0.012928248222366028,-0.8489347304892124,-0.4116644828897224
316,316,316,11-12,0.08611286672511177,0.499363780524359,0.04533483679467857
317,317,317,11-13,0.0581422062258301,-0.0159466860026023,0.5826767410451651
318,318,318,11-14,0.21162780309121787,2.8117568116642944,0.9082025606217228
319,319,319,11-15,0.1749990611732493,2.136936348038532,1.0877434669440345
320,320,320,11-16,0.10601576456801824,0.8660398399949594,0.9214280431587584
321,321,321,11-17,0.07140031191228884,0.2283107074446589,0.7946783142140786
322,322,322,11-18,0.03194801788152183,-0.4985287621872973,0.3804460247658303
323,323,323,11-19,0.016862932463955597,-0.7764450596706817,-0.09621222992225363
324,324,324,11-20,0.0767225199043382,0.3263630749748041,-0.22279454893989428
325,325,325,11-21,0.019763174280628192,-0.7230131800899713,-0.35767664020436113
326,326,326,11-22,0.06479101210781629,0.10654592588911543,-0.20703852208626491
327,327,327,11-23,0.027472527472527583,-0.5809818401421419,-0.14186834532242362
328,328,328,11-24,0.0810071533017201,0.4052999465212794,-0.20718099313174865
329,329,329,11-25,0.03808725846561901,-0.3854239990876337,-0.20619479654522666
330,330,330,11-26,0.055451794582229486,-0.06551281188114584,-0.1641224698078363
331,331,331,11-27,0.02008435428800976,-0.7170960005708397,0.07372934311527968
332,332,332,11-28,0.07849293563579292,0.3589798863134577,0.2574333649241203
333,333,333,11-29,0.1049350213347172,0.8461290373965539,0.6739352890492621
334,334,334,11-30,0.14083504146007805,1.5075240773743233,0.6874201612353552
335,335,335,12-01,0.1737317059248564,2.113587545663218,1.0133772041969522
336,336,336,12-02,0.059843486266687236,0.015396421235412822,1.3407108966394226
337,337,337,12-03,0.12624055772174975,1.2386462571987409,1.0598855069625308
338,338,338,12-04,0.18509747999513693,2.3229820409682795,0.6752287421233208
339,339,339,12-05,0.01347708894878716,-0.8388233006647957,0.3904136294714537
340,340,340,12-06,0.015561780267662709,-0.8004165116609373,0.3705851586894813
341,341,341,12-07,0.08097441875300852,0.4046968697520144,0.2350228687426689
342,342,342,12-08,0.053385840317435485,-0.10357440345642163,-0.3228826318132689
343,343,343,12-09,0.08209124927673196,0.4252725175178673,-0.3420956859703801
344,344,344,12-10,0.0034013605442177984,-1.0244509623673477,-0.2104344466006708
345,345,345,12-11,0.007219869079707466,-0.9541016256074633,-0.1765033211133995
346,346,346,12-12,0.05844061234896825,-0.010449075442681149,-0.18578448406096607
347,347,347,12-13,0.09202495298057208,0.6082836226756421,-0.22252210032524225
348,348,348,12-14,0.050363193489461736,-0.15926138114182156,-0.058604104336940036
349,349,349,12-15,0.0701267099301143,0.2048468199322107,0.10077783084195513
350,350,350,12-16,0.05678542603482083,-0.04094298643753437,0.17883176686610128
351,351,351,12-17,0.05912665096969823,0.002189985465907645,-0.08810772178640408
352,352,352,12-18,0.08386086231840857,0.4578745407021961,-0.2036826010797496
353,353,353,12-19,0.005089317522520341,-0.9933533092393902,-0.29074969927763883
354,354,354,12-20,0.012723293806300686,-0.8527106569018942,-0.32629880125913563
355,355,355,12-21,0.041771094402673466,-0.31755576925512524,-0.4470786235312621
356,356,356,12-22,0.04520795660036177,-0.2542375983265151,-0.37918812580293104
357,357,357,12-23,0.019791629191011243,-0.7224889481668512,-0.30492803682964914
358,358,358,12-24,0.10597113004750834,0.8652175270721827,0.04842272251336379
359,359,359,12-25,0.029274004683840883,-0.5477927753996993,-0.07326859666438118
360,360,360,12-26,0.1278009578796698,1.2673938991561835,0.007642210449961005
361,361,361,12-27,0.002139220468061565,-1.047703684321595,0.0506197238292457
362,362,362,12-28,0.0715586193195292,0.23122724435953795,-0.14184516308464334
363,363,363,12-29,0.03378834977699701,-0.464623867891143,
