,unnamed: 0,unnamed: 0,mth_day,keanu reeves,keanu reeves_norm,keanu reeves_ravg
94,94,94,04-04,0.17684568899634331,-0.2953910364628309,-0.11970281574272265
95,95,95,04-05,0.13216667029118126,-0.7433644776793578,-0.3815493527601876
96,96,96,04-06,0.2303837943903836,0.2414078907439189,-0.07584151839720837
97,97,97,04-07,0.0841177331679258,-1.2251263501131051,-0.13214886828687586
98,98,98,04-08,0.2901462060429127,0.8406147215843871,-0.13095199471792865
99,99,99,04-09,0.24510063428017265,0.3889660422057317,-0.015566699310837687
100,100,100,04-10,0.1775619163212868,-0.2882097950491477,0.017436358928500276
101,101,101,04-11,0.20121498384022848,-0.05105270523681196,0.09955892670480863
102,102,102,04-12,0.2501333257786546,0.4394262401799467,0.006395398042443268
103,103,103,04-13,0.13326112522031502,-0.7323909434552546,-0.0694197468341007
104,104,104,04-14,0.234395735276953,0.2816335496101949,0.07460282996084971
105,105,105,04-15,0.1997316999048455,-0.06592482705353211,0.4792991797164193
106,106,106,04-16,0.2637472140716995,0.5759256657205548,0.6172134938975401
107,107,107,04-17,0.4433914271338872,2.377125393296605,0.6453799438316806
108,108,108,04-18,0.3326633463924824,1.2669121252666713,0.5468764626866629
109,109,109,04-19,0.1501163567275401,-0.5633922438504116,0.8860909732159805
110,110,110,04-20,0.175449755828034,-0.309387337259911,0.8637755725797333
111,111,111,04-21,0.402722815893924,1.9693622361223733,0.5315396337410909
112,112,112,04-22,0.2503933393455659,0.4420332619030711,0.3561132709009649
113,113,113,04-23,0.24457639445353715,0.38370976026475184,0.5205270026309937
114,114,114,04-24,0.22768554602876684,0.21435394822591475,0.3687745272188407
115,115,115,04-25,0.2485040313459672,0.4230901465297608,-0.02436536502444823
116,116,116,04-26,0.08463876932291581,-1.219902189732829,-0.1523098971231889
117,117,117,04-27,0.16746193232569587,-0.38947711733736,-0.3311948669177305
118,118,118,04-28,0.1738293877772878,-0.32563393068937285,-0.22661613315757345
119,119,119,04-29,0.1375289111498174,-0.6896000585024977,-0.2250455219309465
120,120,120,04-30,0.29026704892961125,0.8418263507868574,-0.018947999318145687
121,121,121,05-01,0.24944390896258345,0.4325138138895221,0.3741102950262449
122,122,122,05-02,0.20797065760940164,0.016682945943975822,0.26494518427390273
123,123,123,05-03,0.4026739864716982,1.968872648728984,0.4584133826435661
124,124,124,05-04,0.10850332721427984,-0.9806245952034264,0.4091201995818064
125,125,125,05-05,0.2533032199615867,0.4712091317154822,0.3104029169512303
126,126,126,05-06,0.2607692593900457,0.5460672524162994,0.1968671789394877
127,127,127,05-07,0.1903699874569231,-0.15978988189393425,-0.0598243362160169
128,128,128,05-08,0.1400291473017069,-0.6645314821264795,-0.008372426553739121
129,129,129,05-09,0.2490658844921105,0.4287235577959557,0.2809521227226273
130,130,130,05-10,0.13929293154405198,-0.6719131372297596,0.4664928291990541
131,131,131,05-11,0.42643942527604295,2.207156427373681,0.5133046584778977
132,132,132,05-12,0.3717996366291608,1.65931149127486,0.5057767776787532
133,133,133,05-13,0.21838289719941892,0.12108109377912768,0.247377512789943
134,134,134,05-14,0.13552434907810898,-0.7096987669213468,0.21917214548643532
135,135,135,05-15,0.0944358391302872,-1.121672031536905,-0.18214153444306413
136,136,136,05-16,0.12241441129181754,-0.8411453410508053,-0.4505786776620647
137,137,137,05-17,0.1862872229912523,-0.20072565220331634,-0.5919781333149085
138,138,138,05-18,0.21116277239267195,0.04868863196085632,-0.0679537435157737
139,139,139,05-19,0.13376731498735372,-0.7273156401379344,0.0953527808595427
140,140,140,05-20,0.4491085042041281,2.434447571873461,0.309272391414584
141,141,141,05-21,0.19216094404845685,-0.1418328852850069,0.6506345321079806
142,142,142,05-22,0.2504271558255272,0.4423723222794425,0.8847513620452464
143,143,143,05-23,0.39056351349441015,1.8474471919570636,0.9464517028587798
144,144,144,05-24,0.35126183981356146,1.4533896115844518,0.3567562813917722
145,145,145,05-25,0.17068973619835062,-0.3571135952567347,0.3321186650033696
146,146,146,05-26,0.09622580614250686,-1.1037249569285843,0.3582243075348619
147,147,147,05-27,0.1774174201402707,-0.28965858361542257,0.0940738427755936
148,148,148,05-28,0.26604916887800706,0.5990061774683965,-0.15366460617796432
149,149,149,05-29,0.23249186276565004,0.2625444034014532,0.08461674896544069
150,150,150,05-30,0.2030113886520988,-0.03304108213689569,0.358628033011026
151,151,151,05-31,0.3132809187644316,1.0725745356036949,0.5053033570407824
152,152,152,06-01,0.2601983209244369,0.5403427473449272,0.25639458575288465
153,153,153,06-02,0.2651901621329417,0.5903933605631162,0.14969380308482608
154,154,154,06-03,0.11709837905372045,-0.8944464502589898,0.07745609095665427
155,155,155,06-04,0.16864049356301872,-0.37766029260689815,0.03025342865564488
156,156,156,06-05,0.15978324437692032,-0.4664673549059266,0.2019011098660888
157,157,157,06-06,0.28503412860446475,0.7893585617976391,0.26980386691894914
158,158,158,06-07,0.3629149008003271,1.5702288346075906,0.31884329311436016
159,159,159,06-08,0.3058242034402757,0.9978099028802784,0.2746269536396768
160,160,160,06-09,0.14644431662973162,-0.6002098930865234,0.419597278895944
161,161,161,06-10,0.1421807643465052,-0.6429583294549983,0.21318264165588915
162,162,162,06-11,0.2465356892034985,0.4033545966316764,-0.3127629421736258
163,163,163,06-12,0.16151247410785335,-0.44912926164268974,-0.6001557656641787
164,164,164,06-13,0.04818107398234536,-1.5854446683694992,-0.333044175598177
165,165,165,06-14,0.13384397218021726,-0.7265470380630392,-0.12434855732780488
166,166,166,06-15,0.3062879497234542,1.0024596473094871,0.10861644386333537
167,167,167,06-16,0.2670673925412391,0.6092153801672343,0.444342043746609
168,168,168,06-17,0.385945484805681,1.801144603778518,0.79798907529314
169,169,169,06-18,0.3624157729675245,1.565224337656952,1.110257907429429
170,170,170,06-19,0.2598088297874755,0.536437520909687,0.7465459856973934
171,171,171,06-20,0.3207103848965832,1.1470659547546953,0.7517874831128619
172,172,172,06-21,0.08863721073911095,-1.1798118830827264,0.5728446978323604
173,173,173,06-22,0.2702039842163994,0.6406643646600454,0.2722314819923605
174,174,174,06-23,0.2788634038369081,0.7274878920955082,0.1337948721685821
175,175,175,06-24,0.1825242580992261,-0.2384549573830471,-0.07337825882224193
176,176,176,06-25,0.1769662595270719,-0.2941821380329836,-0.02968143799515988
177,177,177,06-26,0.19673483621749968,-0.09597283119024876,-0.04935077728579038
178,178,178,06-27,0.11478605210507475,-0.9176309581202342,-0.09125448581726954
179,179,179,06-28,0.25843355279487024,0.5226483289162623,-0.14471323042386225
180,180,180,06-29,0.2537875881071713,0.4760656409066333,-0.11210609460031112
181,181,181,06-30,0.15053373325365202,-0.5592074250226033,-0.05069318488967172
182,182,182,07-01,0.19647886492741795,-0.09853932309167672,0.19100701623991392
183,183,183,07-02,0.2334852542902601,0.2725046270735875,-0.2013040704610627
184,184,184,07-03,0.2594231240437733,0.5325702486572796,-0.28597005747001913
185,185,185,07-04,0.023668639053255367,-1.8312181912895973,-0.2944575819374947
186,186,186,07-05,0.2031221753497784,-0.031930281147105465,-0.3956459798539876
187,187,187,07-06,0.14545466968131532,-0.6101325718274571,-0.4650856960691117
188,188,188,07-07,0.1359261904968217,-0.7056697105906341,-0.6173307539499838
189,189,189,07-08,0.19193147327282128,-0.14413367021715698,-0.5436288419853111
190,190,190,07-09,0.1683173687067265,-0.3809000986279533,-0.6092857487825218
191,191,191,07-10,0.06777298275274074,-1.389006719501561,-0.5091219139538284
