,unnamed: 0,unnamed: 0,mth_day,social commentary,social commentary_norm,social commentary_ravg
210,210,210,07-29,8.61454369716504,0.8425073699260212,-0.3401858046631447
211,211,211,07-30,8.894353853109113,1.1543079816737136,-0.25661863894606235
212,212,212,07-31,6.226618757302378,-1.8184269858861672,0.09252902324051553
213,213,213,08-01,6.734555254049601,-1.2524185439108892,0.15547153794338206
214,214,214,08-02,8.785189914099607,1.032663422886667,0.06667215980630382
215,215,215,08-03,8.732721179709483,0.9741959829709494,-0.11974321444011185
216,216,216,08-04,8.136411835171543,0.30971110110355177,0.0911834536286441
217,217,217,08-05,7.890617882626718,0.035815736195219605,0.2971073583104065
218,218,218,08-06,7.362333473593707,-0.5528669774736316,0.21824676800466172
219,219,219,08-07,7.8433330635346294,-0.016875115820314875,-0.055242998208312334
220,220,220,08-08,8.360572516187357,0.5594998810521987,-0.26871403803211324
221,221,221,08-09,7.260141372295555,-0.6667426143068952,-0.3518778533469644
222,222,222,08-10,6.986997189552269,-0.9711151378392536,-0.2258928163211368
223,223,223,08-11,7.442830176212933,-0.4631671556938868,-0.013291603623843741
224,224,224,08-12,8.040688002647851,0.2030432446813335,0.0986018186012206
225,225,225,08-13,8.98806420717073,1.2587321603634436,0.3025651796157072
226,226,226,08-14,8.963052076694051,1.2308604144025848,0.7140784001597722
227,227,227,08-15,8.358362819632339,0.5570375517800247,0.4648282335921763
228,228,228,08-16,9.202751246635216,1.4979641854251355,0.22273366108809944
229,229,229,08-17,6.100766202981204,-1.9586681550994625,-0.20988162199873006
230,230,230,08-18,6.737152649605093,-1.2495241903431276,-0.4343454913463726
231,231,231,08-19,6.658688088006443,-1.3369595381575334,-0.4041906947219235
232,232,232,08-20,7.754447579083946,-0.11592280168327025,-0.4180763165252983
233,233,233,08-21,8.520728473092502,0.7379663315267192,-0.1694464282584892
234,234,234,08-22,9.127985427920404,1.4146504546048873,0.1766671516147812
235,235,235,08-23,7.439490346304983,-0.4668888254986083,0.39602236522770456
236,236,236,08-24,8.600768520321893,0.8271572888964949,0.5465501834290449
237,237,237,08-25,7.839785511468412,-0.02082825647999341,0.4157607162716916
238,238,238,08-26,8.564950394625324,0.787244107524772,0.5468611790450174
239,239,239,08-27,7.816504943907997,-0.04677047141740106,0.6189062936400904
240,240,240,08-28,9.833883483616876,2.2012532312448427,0.5307402770883881
241,241,241,08-29,7.827410459165478,-0.034618137928170784,0.4304289358759924
242,242,242,08-30,8.126046933946133,0.298161189586281,0.3733736842372503
243,243,243,08-31,7.299668571922848,-0.6226963037543681,0.4269869952020718
244,244,244,09-01,8.257741782641268,0.4449125976923194,-0.007172588797283181
245,245,245,09-02,8.105180751520919,0.2749093943715281,0.002530121320177161
246,246,246,09-03,7.496192222091522,-0.4037042727512872,-0.2566245219357933
247,247,247,09-04,7.879653785100517,0.02359812277659128,0.034039530996927886
248,248,248,09-05,6.7306532417407725,-1.2567666699495414,0.08315812425355018
249,249,249,09-06,8.864721703587392,1.1212880138419588,0.03613375619147393
250,250,250,09-07,8.522216207406228,0.7396241572320531,-0.0016772295098331038
251,251,251,09-08,7.851982484457832,-0.007236814000929408,-0.1699074529427088
252,252,252,09-09,7.292602541888268,-0.6305701869591294,0.12297601482654548
253,253,253,09-10,6.973834041077372,-0.9857832178206628,-0.014006125116599414
254,254,254,09-11,8.307656602906803,0.500534136665984,-0.4101527798750079
255,255,255,09-12,8.127154312858991,0.2993951741830894,-0.3794269616786128
256,256,256,09-13,6.389201971994098,-1.6372557713183975,-0.3603426785983996
