,unnamed: 0,unnamed: 0,mth_day,bad science,bad science_norm,bad science_ravg
116,116,116,04-26,1.7039459918384623,0.5971021789671855,0.5872162533685945
117,117,117,04-27,1.7483333732911406,0.7293294822121058,0.8364668898732625
118,118,118,04-28,1.7722379886605828,0.8005398740388515,1.00365309149875
119,119,119,04-29,1.7008825328999024,0.5879763215547773,0.8156693977718473
120,120,120,04-30,2.184814802305968,2.029581048902289,0.6638125155369555
121,121,121,05-01,1.5536862205440882,0.14948748095587225,0.7701836313778544
122,122,122,05-02,1.3980849846534638,-0.3140391144421653,0.5652229707486
123,123,123,05-03,1.9625796830248328,1.3675561772574985,0.5369742173748173
124,124,124,05-04,1.359418542016087,-0.42922408973667536,0.1292023966823319
125,125,125,05-05,1.6439855913094572,0.418483801312082,0.05865253129031898
126,126,126,05-06,1.3635053038945275,-0.4170498752526232,0.050102995238006834
127,127,127,05-07,1.4115889209815329,-0.2738117113962053,-0.2000698940235934
128,128,128,05-08,1.380865022874716,-0.3653363307560382,-0.010469939690896176
129,129,129,05-09,1.4586964822517778,-0.13348115831210294,0.01589519793423479
130,130,130,05-10,1.7412993770560676,0.708375636259508,0.21633720221680666
131,131,131,05-11,1.697088667244601,0.5766746270628678,0.2730268532049647
132,132,132,05-12,1.7672235444495858,0.7856021504428079,0.34483297114328715
133,133,133,05-13,1.5257698095459635,0.06632619453274331,0.3640617707011749
134,134,134,05-14,1.5254925908283912,0.06550037687389612,0.19778825514443865
135,135,135,05-15,1.4974259748712613,-0.01810836096477634,0.1657788811220099
136,136,136,05-16,1.4064012533232948,-0.2892654570809097,0.2730937588893552
137,137,137,05-17,1.632617309517675,0.3846183829282952,0.19666970424734168
138,138,138,05-18,1.983370722745292,1.4294914170468795,0.17852114469790206
139,139,139,05-19,1.3718410709734763,-0.3922181333193376,0.4188006774430443
140,140,140,05-20,1.4889388527227825,-0.043390980422741685,0.4500016381449827
141,141,141,05-21,1.98138257143626,1.4235688355060767,0.4142304142934384
142,142,142,05-22,1.469244353517286,-0.10205969286927977,0.062470152192823585
143,143,143,05-23,1.560569059912828,0.1699910398190298,0.4176426077748996
144,144,144,05-24,1.2748763399399503,-0.6810701555568094,0.6946245414195612
145,145,145,05-25,2.0872080888519884,1.7388166001731185,0.8975740295385252
146,146,146,05-26,2.046819219748645,1.6185006214452278,0.7599013914607476
147,147,147,05-27,2.3901512352609906,2.641265764219861,0.8369225095841323
148,148,148,05-28,1.1919523985886236,-0.9280955213359452,0.9646211455471256
149,149,149,05-29,1.7157003678722134,0.6321177485593369,0.7036060140642456
