,unnamed: 0,unnamed: 0,mth_day,lesbian,lesbian_norm,lesbian_ravg
188,188,188,07-07,0.9294196306501872,0.4940547051286591,0.04636864390133422
189,189,189,07-08,0.8831086920848901,0.2782972474706774,0.12439462766992185
190,190,190,07-09,0.7202656221367876,-0.4803703126713957,-0.053735347054379434
191,191,191,07-10,0.8113463223920158,-0.05603556719719542,0.1636323014500616
192,192,192,07-11,0.7811498675829985,-0.19671745622200013,0.2371264567876521
193,193,193,07-12,1.025689496997939,0.9425651921916266,0.3185997579097744
194,194,194,07-13,1.0240698925607512,0.935019637154202,0.14583007766486422
195,195,195,07-14,0.9880349852643272,0.7671370542034114,-0.17599192357815951
196,196,196,07-15,0.4977622759826598,-1.5169883941408568,-0.3415962672910989
197,197,197,07-16,0.3968842938631403,-1.986967574655338,-0.5807434516476824
198,198,198,07-17,0.5678744794387709,-1.1903435184996367,-0.5750707958905735
199,199,199,07-18,0.7177011470325492,-0.4923179139478743,-0.5957161425059193
200,200,200,07-19,1.0313754851030768,0.9690555716968546,-0.3703862057179492
201,201,201,07-20,0.9614466469753724,0.6432649745113369,0.02191528715444191
202,202,202,07-21,0.7879559306386741,-0.16500877341303574,0.4126203798429463
203,203,203,07-22,0.9021141162580814,0.36684138257900856,0.2574367859335657
204,204,204,07-23,1.0710483601765164,1.1538870376313892,-0.09118479403937776
205,205,205,07-24,0.5178462369342379,-1.4234194774041578,-0.19016972729998394
206,206,206,07-25,0.5823993222974273,-1.122673908140806,-0.20820358055644114
207,207,207,07-26,0.8339678044023757,0.049355374947699766,-0.6864879394576927
208,208,208,07-27,0.7647308329946535,-0.2732118929517787,-0.7113445388429236
209,209,209,07-28,0.2861503075744368,-2.502864770828501,-0.3010632887550236
210,210,210,07-29,1.0390365133675945,1.0047474413200037,0.033427518573130435
211,211,211,07-30,1.0462314887877424,1.0382680231232426,0.11457082844356806
212,212,212,07-31,1.0131770130520092,0.8842709358281179,0.3917510661769916
213,213,213,08-01,0.938469114693627,0.5362152341703253,1.0440151430061222
214,214,214,08-02,1.1217004719733092,1.3898695334487623,1.0277843611234867
215,215,215,08-03,1.1261758228435736,1.4107196901462828,1.1917734895781622
216,216,216,08-04,1.0181335211616422,0.9073627500241908,0.8977508246875341
217,217,217,08-05,1.257426704072858,2.0222027938512954,1.2608161992953293
218,218,218,08-06,0.6345166677264824,-0.8798650535156506,1.0581749935552651
219,219,219,08-07,1.4060468783870124,2.7146074818170964,0.8761376819827752
220,220,220,08-08,0.8607267508785187,0.17402229900837735,0.9816018598330216
221,221,221,08-09,0.8917370550437832,0.31849582071134336,0.7010355680359076
222,222,222,08-10,1.153956730638035,1.5401478171256675,0.6939855277082511
223,223,223,08-11,0.8960962978672102,0.3388050430686118,0.25794648481518617
224,224,224,08-12,0.6254371952102316,-0.9221652954815894,0.07730006754303925
225,225,225,08-13,0.8444891677978684,0.09837322445870733,-0.3714540801952373
226,226,226,08-14,0.6280792617077928,-0.909856204624504,-0.7171056177541416
227,227,227,08-15,0.31380405585799626,-2.374029065718316,-1.0143821998022828
228,228,228,08-16,0.7088055698489815,-0.5337614082277574,-0.9551289329953976
229,229,229,08-17,0.5132453592927478,-1.4448544492202375,-1.0896217389404748
230,230,230,08-18,0.7017471711065013,-0.5666456946402766,-0.7457655994578962
231,231,231,08-19,0.6712811181330369,-0.7085836112117562,0.17700802202318258
232,232,232,08-20,1.0709181991999412,1.1532806322709679,0.5316220535945918
233,233,233,08-21,1.5022082841418611,3.1626126631681566,0.7584734696727934
234,234,234,08-22,1.165499177813036,1.5939227812006973,1.1950943237519054
235,235,235,08-23,0.8053984679033032,-0.08374595275102811,1.8361710315843656
236,236,236,08-24,1.2640541736752442,2.053079429834396,1.9219814014862853
237,237,237,08-25,1.4968988563379837,3.1378766357830066,1.3911939584967818
238,238,238,08-26,1.1814300344411426,1.6681428516824852,1.1181587812623952
239,239,239,08-27,0.8186277971354488,-0.02211199476886314,1.1135378837446284
240,240,240,08-28,0.813867800905246,-0.04428828220562215,0.7918754907471485
241,241,241,08-29,0.7994473938578982,-0.11147133785762844,0.2678510245784067
242,242,242,08-30,0.8497976983930781,0.12310507184951593,-0.11764664362074173
243,243,243,08-31,0.8220281439311952,-0.006270161229443879,0.13638673985624694
244,244,244,09-01,0.6849625930050394,-0.6448431575124053,0.4456731577168096
245,245,245,09-02,1.145787503504992,1.5020883060930688,0.3995950690716086
246,246,246,09-03,1.2121857395415094,1.8114302249577536,0.4437431991852237
247,247,247,09-04,0.7401052170742737,-0.3879398697288344,0.5909784642802428
248,248,248,09-05,0.9066543567072128,0.38799385253120616,0.4790284259849654
