,unnamed: 0,unnamed: 0,mth_day,tom cruise,tom cruise_norm,tom cruise_ravg
172,172,172,06-21,0.5534558463062679,0.12593589714007722,-0.221457117150666
173,173,173,06-22,0.7013390193096473,1.034658179336602,0.035482705030713935
174,174,174,06-23,0.4435716120284547,-0.5492879983336161,0.10746329989760144
175,175,175,06-24,0.6231174384355762,0.5539970463266851,0.14929151311777653
176,176,176,06-25,0.6125667582774752,0.4891645305151936,0.05942597318739349
177,177,177,06-26,0.4094894078202266,-0.7587185762782841,-0.2066920827639328
178,178,178,06-27,0.4657088979881709,-0.41325734244222095,-0.2270101588209441
179,179,179,06-28,0.4414947306071809,-0.5620501563713559,-0.4420503554949871
180,180,180,06-29,0.42373253721647597,-0.6711964546756838,-0.5804839666550204
181,181,181,06-30,0.4131468419367607,-0.7362441337175721,-0.3634193302772872
182,182,182,07-01,0.4773967372287271,-0.3414371364450073,-0.3252471208119357
183,183,183,07-02,0.6214367175974628,0.5436692419881158,-0.16688779032331982
184,184,184,07-03,0.502981192726939,-0.18422408565011208,-0.15309601186028296
