,unnamed: 0,unnamed: 0,mth_day,movie to see,movie to see_norm,movie to see_ravg
310,310,310,11-06,4.634537700524438,-0.9138449498902464,0.03395998228086503
311,311,311,11-07,5.091794316883078,-0.2220934454044195,-0.04343793461593287
312,312,312,11-08,4.978651720477048,-0.3932589539728452,0.20370236608062064
313,313,313,11-09,5.6571945412209095,0.6332609482333844,-0.01987859339113392
314,314,314,11-10,5.5822829019868205,0.5199323767271902,0.3068022331816418
315,315,315,11-11,5.408304384040243,0.2567324639601238,0.5342540762354752
316,316,316,11-12,5.930178997313018,1.046240009546408,0.5099081888071991
317,317,317,11-13,5.993885829209927,1.1426176129185803,0.2739742469938799
318,318,318,11-14,4.8820940574823615,-0.5393342785425014,0.2444879643131241
319,319,319,11-15,4.7214623725031615,-0.7823427026465307,-0.01473050235140656
320,320,320,11-16,5.465338035859336,0.3430146806426556,-0.010145856553147705
321,321,321,11-17,4.3802239979819575,-1.2985783360270604,-0.2381254925621023
322,322,322,11-18,5.948362055344582,1.0737478843359611,0.040603444123304834
323,323,323,11-19,5.089701049408574,-0.2252602031351473,0.3183836134629945
324,324,324,11-20,5.987554469004649,1.1330393415699411,0.1329625409572474
325,325,325,11-21,5.823159899723202,0.8843383133916077,0.28391774810312553
326,326,326,11-22,4.729943793859778,-0.7695117543918272,0.1620175669675832
327,327,327,11-23,4.978923965761989,-0.3928470931517917,0.3257837531162558
328,328,328,11-24,5.464896556551275,0.3423467975227072,0.12407309414794715
329,329,329,11-25,5.739210345738572,0.7573369137568879,0.1120840665713982
330,330,330,11-26,5.187554473585396,-0.07722461223991049,0.33958482678594554
331,331,331,11-27,5.775610493780173,0.8124041479323141,0.3929441765019132
332,332,332,11-28,5.632229315410272,0.5954928068954566,0.4052506712731854
333,333,333,11-29,5.190551252820997,-0.07269099485598557,0.19234457908268368
334,334,334,11-30,5.513705061818175,0.4161857661503407,0.012695277225934257
335,335,335,12-01,4.894808400653991,-0.5200996393861226,-0.2027248560230364
336,336,336,12-02,4.475051518126551,-1.1551204233804069,-0.3661310086819934
337,337,337,12-03,4.92123766839831,-0.48011665156151007,-0.4852778793733844
338,338,338,12-04,4.984147939605627,-0.3849441090582854,-0.4644624014285481
339,339,339,12-05,4.7180055951207445,-0.7875722190043316,-0.4384974217138216
340,340,340,12-06,5.596260849131006,0.5410786338193581,-0.33377150839952546
341,341,341,12-07,4.997787508248427,-0.3643097610977633,-0.2555940238126665
342,342,342,12-08,4.890402549154003,-0.5267649434946311,-0.2546347277661642
343,343,343,12-09,5.2312955881496,-0.011051744040356002,-0.1321229955692739
344,344,344,12-10,4.987952581545388,-0.3791883327792714,-0.38407998145768935
345,345,345,12-11,5.203896552483167,-0.05250182582298992,-0.4117257298483332
346,346,346,12-12,4.596980054613105,-0.9706632815111348,-0.07176794464319038
347,347,347,12-13,4.888142342747523,-0.5301842514416258,0.08535226831311342
348,348,348,12-14,6.238701285561298,1.5129817677362256,0.04253788138908832
349,349,349,12-15,5.854446443380624,0.9316695336974667,0.27211629873299936
350,350,350,12-16,4.818147428370613,-0.636074654323422,0.31722360523427323
351,351,351,12-17,6.1144222220876845,1.3249686782404764,0.5724630354193273
352,352,352,12-18,4.775879103274998,-0.7000194425034916,0.18585262926081367
353,353,353,12-19,5.900441563935119,1.001252329668698,-0.02069200899567801
354,354,354,12-20,4.705374664460729,-0.8066806692148557,-0.0340277691252032
355,355,355,12-21,5.0352745141221655,-0.3075982958414836,-0.40672244979761335
356,356,356,12-22,4.765256777489301,-0.7160892151005732,-0.6781321134840703
357,357,357,12-23,4.636286439101861,-0.9111994057939844,-1.2047442772864534
358,358,358,12-24,3.699447491696058,-2.3284774246222337,-1.100880372042422
359,359,359,12-25,3.8118571986645717,-2.1584206531456007,-1.1482515721916926
360,360,360,12-26,5.11730690514864,-0.1834972377506684,-1.2581946767119097
361,361,361,12-27,4.847396689042158,-0.5918254967371069,-1.340433536980367
362,362,362,12-28,4.3292139646681385,-1.3757478422218743,-1.0308520910843395
363,363,363,12-29,4.310120790868135,-1.4046325674047289,
364,364,364,12-30,4.927271328896546,-0.4709887492460673,
365,365,365,12-31,,,
