,unnamed: 0,unnamed: 0,mth_day,childish,childish_norm,childish_ravg
143,143,143,05-23,2.8497079591102406,0.21534393889514108,0.4397068294704961
144,144,144,05-24,2.9554974545303385,0.4142744982538795,0.8461217860204124
145,145,145,05-25,2.9999028956048237,0.4977761653753617,0.7035852838161013
146,146,146,05-26,4.113657333573394,2.5921220402047367,0.5156463575932374
147,147,147,05-27,2.68351550954296,-0.0971706148640098,0.633751141489788
148,148,148,05-28,2.454155473328304,-0.528467882305682,0.6103504956330053
149,149,149,05-29,3.2265503769486545,0.9239726422744436,0.4921345184875159
150,150,150,05-30,2.880831927252675,0.27387062311318355,0.16269526330067427
151,151,151,05-31,2.6227056883040762,-0.21151969749757432,0.2635234302608034
152,152,152,06-01,3.0625002054740125,0.6154865090836874,0.3765814588605635
153,153,153,06-02,3.0052326235317715,0.5077983868967648,0.4410111687030838
154,154,154,06-03,2.8148949747095235,0.1498802892928787,0.5344140088291326
155,155,155,06-04,3.4321292437534905,1.3105509013295653,0.7981377886266053
156,156,156,06-05,3.1788567061380557,0.8342876638694762,0.7180965779275029
157,157,157,06-06,3.4641813977674256,1.3708229812872617,1.0929535796547134
158,158,158,06-07,2.8071089980104444,0.1352392448890726,1.1471352108958472
159,159,159,06-08,4.201306264361377,2.756940397260028,1.0023551986741208
160,160,160,06-09,2.9877748212805364,0.4749700767396816,1.063072356705102
161,161,161,06-10,2.9701729363095866,0.4418708279992072,1.216268339246155
162,162,162,06-11,3.372589761496031,1.198590612055364,1.3778007899937197
163,163,163,06-12,3.9529909324808465,2.2899988765335784,1.0067016999815426
164,164,164,06-13,3.3225180889105705,1.10443394937446,1.2904805998596611
165,165,165,06-14,3.0172231669288694,0.5303458571869656,1.3440260208560777
166,166,166,06-15,3.893241333587657,2.1776434760083934,1.2043200153962392
167,167,167,06-16,3.1410227973121674,0.7631433539777055,0.8748449770406402
168,168,168,06-17,2.926823323024355,0.3603545792963344,0.4971412232021738
169,169,169,06-18,2.9017196293634213,0.31314864639998313,0.5449437405786365
170,170,170,06-19,2.117361183938744,-1.1617885736563385,0.597626225344689
171,171,171,06-20,3.1697488786958687,0.8171609614457409,0.6263918443764703
172,172,172,06-21,4.061337783892027,2.493738384604709,0.6972624324186367
173,173,173,06-22,3.2328065936065675,0.9357370681683932,0.8550309464542935
174,174,174,06-23,3.15295339896466,0.7855781075493331,0.7661454660102788
175,175,175,06-24,3.4051189526291683,1.259759730613924,0.6617675174135774
176,176,176,06-25,1.8337501543415764,-1.695101456320426,0.3009848320281155
177,177,177,06-26,2.836705311615233,0.1908932698655329,0.2241014235599447
178,178,178,06-27,2.9101717177148823,0.3290422722919377,0.2681682062989281
179,179,179,06-28,2.987491132344797,0.4744366173593682,0.2756345577639014
180,180,180,06-29,3.2935593287656437,1.0499788039832332,0.5896937353287716
181,181,181,06-30,3.428942186927251,1.3045578394037645,0.6090556641148513
182,182,182,07-01,2.8358333546423773,0.18925360906879496,0.5930280841793675
183,183,183,07-02,2.8984843168090677,0.30706484258201233,0.5629647975358572
184,184,184,07-03,2.85903177421965,0.2328767926790346,0.33076106240426856
185,185,185,07-04,2.8915668077481484,0.29405689749830616,0.4340758279697083
186,186,186,07-05,2.5526560893613452,-0.3432436068062983,0.5793073635175529
187,187,187,07-06,3.75859340654416,1.9244464327964024,0.6933516323627744
188,188,188,07-07,3.299230358528128,1.0606428223558622,0.5654474176032096
189,189,189,07-08,3.2623706607347405,0.9913304556533415,0.914290425941802
190,190,190,07-09,2.4509218573179172,-0.5345484958783546,0.8009121511142151
