,unnamed: 0,unnamed: 0,mth_day,political,political_norm,political_ravg
257,257,257,09-14,1.9913950254664967,-0.14592016096143304,-0.3367346368204487
258,258,258,09-15,1.2892152441766382,-1.8565344176816136,-0.2982193803105416
259,259,259,09-16,2.2001616344547,0.36266631101920666,-0.2799925029006467
260,260,260,09-17,1.9218988280461475,-0.31522322160597904,-0.1191708739238606
261,261,261,09-18,2.048111392181013,-0.007750666372737878,-0.02796047206346691
262,262,262,09-19,2.563468954397222,1.2477369120593873,0.3263278960771264
263,263,263,09-20,2.216037488645154,0.4013422502009292,0.3853532169610821
264,264,264,09-21,2.1617934816507702,0.2691957911619463,0.4970724966244723
265,265,265,09-22,2.3455353330990443,0.7168182363229408,0.5228724659200595
266,266,266,09-23,2.197052688310269,0.3550924563743623,0.21756825330701104
267,267,267,09-24,2.111654239644457,0.14704914940078506,0.08093412660525512
268,268,268,09-25,1.8115339892910447,-0.5840883636189033,0.05849684657049306
269,269,269,09-26,1.8795207520614583,-0.4184625100096064,-0.029638672344502813
270,270,270,09-27,2.1065326150036414,0.13457211095337396,-0.14632939192653946
271,271,271,09-28,2.128466011412489,0.18800512283296564,-0.1809599911518624
272,272,272,09-29,1.909654648806824,-0.34505186111785746,-0.02497801250206549
273,273,273,09-30,2.0263623984437493,-0.06073444595115236,0.20789954677708614
274,274,274,10-01,2.1957026277430867,0.3518035082798781,-0.03315169198363152
275,275,275,10-02,2.453075823286494,0.9788028456653034,-0.09859100874457744
276,276,276,10-03,1.5128465559250242,-1.3117353216109322,0.05477033367363413
277,277,277,10-04,1.967295256695196,-0.2046307777327099,-0.16035281320450204
278,278,278,10-05,2.2873689118131826,0.575116193391412,-0.10893309549910694
279,279,279,10-06,1.4965347404600058,-1.3514733272199695,-0.4313334150558423
280,280,280,10-07,2.3223444559303053,0.6603218145122487,-0.4227538778502721
281,281,281,10-08,1.6590347880801788,-0.9555990716751088,-0.34853627969012035
282,282,282,10-09,1.5339771323886846,-1.26025809837751,-0.42756683342754415
283,283,283,10-10,2.1500860757447486,0.2406748112281998,-0.2568717675579212
284,284,284,10-11,2.0927242452419104,0.10093287096686923,-0.40063724553493
285,285,285,10-12,1.9169403002127896,-0.3273029320022317,-0.3845709176488132
286,286,286,10-13,1.9682638857970427,-0.20227105334980428,-0.022210244522759142
287,287,287,10-14,1.6986046112248836,-0.8592011043584076,-0.18267475608554395
288,288,288,10-15,2.426436682064892,0.913905940378814,-0.03896807658459299
289,289,289,10-16,1.7548773890710767,-0.7221122581485093,-0.11776050581925948
290,290,290,10-17,2.446660000373557,0.9631729479725752,0.07587131574465585
291,291,291,10-18,1.7228821114307993,-0.8000575074102305,0.2939109987867365
292,292,292,10-19,2.4451604727944978,0.9595198760336876,0.20537812020383991
293,293,293,10-20,2.235615417780003,0.4490369938940766,0.17879961573792724
294,294,294,10-21,2.2083887016645893,0.3827086688814341,-0.0584297584951714
295,295,295,10-22,1.6894170842259535,-0.8815832849439852,-0.09537690142307502
296,296,296,10-23,1.8623868267105044,-0.4602032974260167,0.3726847373530786
297,297,297,10-24,1.6318848454891148,-1.0217403649776522,0.2980970741914764
298,298,298,10-25,3.597951353104955,3.7678897086906096,0.30200005351512155
299,299,299,10-26,2.0519131641597608,0.0015110149244634506,0.4841530419081997
300,300,300,10-27,2.2180013650353856,0.40612654482330496,0.6115677776131279
301,301,301,10-28,2.13804240714258,0.2113346454144836,0.7447519611531505
