,unnamed: 0,unnamed: 0,mth_day,fighting,fighting_norm,fighting_ravg
191,191,191,07-10,4.153587601910949,2.0912542797714786,0.4897233210444836
192,192,192,07-11,3.081828878272141,-0.0990627967385228,0.4136585537035087
193,193,193,07-12,2.917634714564462,-0.4346208591083634,0.2299115685519807
194,194,194,07-13,3.151754850197205,0.043842548486026235,0.08002786288262824
195,195,195,07-14,3.067623733279988,-0.12809337140459925,-0.5022756166898169
196,196,196,07-15,2.6443357947134314,-0.9931526237102491,-0.4769300460326368
197,197,197,07-16,2.4440027000809144,-1.4025665976631918,-0.4945304880698904
198,198,198,07-17,3.1562409442202903,0.05301062720455753,-0.6468155648767329
199,199,199,07-18,2.865961573276491,-0.5402235113318851,-0.4597532144138852
200,200,200,07-19,2.7046610628233734,-0.8698679123550294,-0.10210114791179033
201,201,201,07-20,3.6168201253175813,0.9942807313724876,-0.0342144655213642
202,202,202,07-21,3.694366568098537,1.1527597753023198,-0.0986400032855554
203,203,203,07-22,2.643311224452465,-0.9952465033206348,0.06663166116818235
204,204,204,07-23,2.9670939950473048,-0.3335425993805897,0.3682386001797304
205,205,205,07-24,3.351182685913304,0.4514064753905414,0.2821594484619989
206,206,206,07-25,3.590148935229544,0.9397737217142592,0.08918730594678666
207,207,207,07-26,3.3641003266191043,0.4778058210660988,-0.0776842838374699
208,208,208,07-27,3.127819616395569,-0.0050730797889538244,-0.216791774146506
209,209,209,07-28,2.1533928907186413,-1.9964760420261745,-0.2232682731852665
210,210,210,07-29,2.558688286500944,-1.1681875412348062,-0.5639604518390403
211,211,211,07-30,3.3321683310935266,0.4125474811579781,-0.7343883820565124
212,212,212,07-31,2.5899106999613486,-1.1043793502083834,-0.8544264731401152
213,213,213,08-01,2.8637409322980125,-0.544761760238734,-0.6148243871629117
214,214,214,08-02,2.7753997608389707,-0.7253016262905705,-0.5271593055813769
215,215,215,08-03,2.856840702733042,-0.5588635261629529,-0.8032390814266098
216,216,216,08-04,2.8160642170029084,-0.6421970517455976,-0.6798237580013948
217,217,217,08-05,2.5216256621192974,-1.243931173913419,-0.6512787730126461
218,218,218,08-06,2.9522457726233493,-0.3638874096570943,-0.7289010503469431
219,219,219,08-07,2.9475461594204075,-0.3734918503062421,-0.6138757521680117
220,220,220,08-08,2.5475085013297303,-1.1910352902963524,-0.4208683058227309
221,221,221,08-09,3.194543498600903,0.13128826291063514,-0.3645873959777511
222,222,222,08-10,3.3827148172276176,0.5158476263260876,-0.5412128499453625
223,223,223,08-11,2.6868607965596443,-0.90624571484354,-0.5024776291890417
224,224,224,08-12,2.4336910670879908,-1.4236401334627624,-0.17771058826331776
225,225,225,08-13,3.0612689017654846,-0.1410805257683175,-0.2758334833941229
226,226,226,08-14,3.5009921215655235,0.7575669552579913,-0.3986215286345167
227,227,227,08-15,2.9064644712135936,-0.4574491078741961,-0.26701565735964744
228,228,228,08-16,3.0222213707135577,-0.22088064511627475,-0.2906978841181609
229,229,229,08-17,3.0732425002872312,-0.116610487194325,-0.3161588852473128
230,230,230,08-18,2.364162412823728,-1.565733494013843,-0.34260431591831003
231,231,231,08-19,2.986517943471649,-0.2938465325432289,-0.1301765484431153
232,232,232,08-20,3.4233509763834173,0.5988943712320077,-0.017213363153329875
233,233,233,08-21,3.530131196117428,0.8171174969769721,0.2528649502362768
234,234,234,08-22,3.3538700089388414,0.4568984666224378,0.7114479633746751
235,235,235,08-23,3.866165474440863,1.5038593931433153,0.7390462809328091
236,236,236,08-24,3.7105163725712633,1.185764584816546,0.9540799461266046
237,237,237,08-25,3.067543849495668,-0.12825662719442574,1.3731267843063268
238,238,238,08-26,4.054668356919096,1.8890963623947807,1.2763485218118562
239,239,239,08-27,4.760410891917423,3.331398526055305,0.8762929531985151
240,240,240,08-28,3.0697386887767624,-0.12377110834438675,0.7105108456038222
241,241,241,08-29,2.6916422507490347,-0.8964740185367304,0.6879146611065529
242,242,242,08-30,3.2237966498151005,0.19107193924838825,0.6191380425241926
243,243,243,08-31,3.0012037069228272,-0.26383373417804123,0.2267380605519464
244,244,244,09-01,3.852747068704129,1.4764366509006197,-0.06666107345542632
245,245,245,09-02,3.608363706572261,0.9769986342218282,0.0053717369081205035
246,246,246,09-03,2.2083481127195785,-1.884165912388623,-0.12553843262662254
247,247,247,09-04,2.903123393063907,-0.4642771563554494,0.010076987975512005
248,248,248,09-05,2.8394574569651234,-0.5943890779600699,-0.16194717636221298
249,249,249,09-06,3.3993570473201253,0.5498587894347661,-0.2554116654213331
250,250,250,09-07,3.3477012903109817,0.4442916648742696,-0.10986158011450303
251,251,251,09-08,3.333961294500033,0.4162116998671074,-0.10084980319052356
252,252,252,09-09,2.6356686372050806,-1.0108654005476423,-0.08836876011533802
253,253,253,09-10,2.9295810707326164,-0.4102064948115725,-0.3253306416433556
254,254,254,09-11,2.8761005538191804,-0.5195028195089566,-0.7515239935941983
