,unnamed: 0,unnamed: 0,mth_day,satirical,satirical_norm,satirical_ravg
142,142,142,05-22,4.051102923552402,-1.4958916854000797,-0.5033961510692232
143,143,143,05-23,3.6362649738268944,-2.133482183999543,-0.2759364003304871
144,144,144,05-24,5.351455406595004,0.5027017137013884,-0.4684497628179145
145,145,145,05-25,5.776025196290969,1.1552496883542351,-0.5747464773310617
146,146,146,05-26,4.652887206788781,-0.5709716257674234,-0.23852364708978824
147,147,147,05-27,4.434851256836834,-0.906084770874944,0.04025966412392412
148,148,148,05-28,5.363650615413325,0.5214452960475607,-0.1337836986318994
149,149,149,05-29,4.7245800992463165,-0.4607823167172688,-0.5157728844449926
150,150,150,05-30,4.672024405716984,-0.5415584628335527,-0.5089769870488691
151,151,151,05-31,4.284814668454356,-1.1366854265243245,-0.1804920171361636
152,152,152,06-01,4.679417051401074,-0.5301962413906816,-0.3687155564363889
153,153,153,06-02,5.717191866368114,1.0648250486012885,-0.4159448028511737
154,154,154,06-03,4.628862998864147,-0.607895939753791,-0.2709208671661656
155,155,155,06-04,4.540206425615729,-0.744157795205978,-0.0006578288411807446
156,156,156,06-05,5.238169280267439,0.328585151276496,0.14121486270900047
157,157,157,06-06,5.339868327048042,0.4848928034255846,-0.08004521549384487
158,158,158,06-07,5.233260089658349,0.3210399079104057,0.2250313714522957
159,159,159,06-08,4.853436110288995,-0.26273542061578364,0.5591084265897509
160,160,160,06-09,5.819821892850075,1.2225635819230525,0.6656250149836968
161,161,161,06-10,5.844377434198639,1.2603045356187534,0.8266980237825935
162,162,162,06-11,5.653989057113191,0.9676846816401712,0.9897484970622448
163,163,163,06-12,5.9686656212959495,1.4513308562189648,1.4097973312861838
164,164,164,06-13,5.8697770156697775,1.299342747588314,1.5213596271063217
165,165,165,06-14,6.4932240076006265,2.2575575847278517,1.5722114383329562
166,166,166,06-15,6.255339117460758,1.8919373568438835,1.8047326308790481
167,167,167,06-16,6.042892887193218,1.5654154029785587,1.4991455566081342
168,168,168,06-17,6.561705985098463,2.362811836916724,1.539613571379704
169,169,169,06-18,4.775713885362391,-0.38219158940651865,1.08940144513322
170,170,170,06-19,6.027756172958119,1.5421508362177319,1.1034423377680374
171,171,171,06-20,4.735684560536384,-0.44371517275105415,1.0519525480700929
172,172,172,06-21,6.31015199618845,1.9761827126527869,0.6176886700979768
173,173,173,06-22,5.841886891931254,1.2564766647908931,0.6146912747855047
174,174,174,06-23,4.866425357421131,-0.2427714309159735,0.3802759650672373
175,175,175,06-24,4.76401264456278,-0.4001759612813518,0.5024155486855097
176,176,176,06-25,5.112644984682227,0.13565897790812748,-0.05377467165071781
177,177,177,06-26,5.212493432937991,0.28912232895858075,-0.2664656160351828
178,178,178,06-27,4.1388949479562775,-1.3609586093645782,0.14015816319961102
179,179,179,06-28,5.011583346121412,-0.0196690015158968,0.8275393021138638
180,180,180,06-29,6.453804484851004,2.196971244492789,0.9071160788272192
181,181,181,06-30,7.447413193725972,3.724110872204164,0.7898405418590292
182,182,182,07-01,5.423297043990319,0.613119638188259,1.0381985585113382
183,183,183,07-02,4.754672840419368,-0.4145308928505579,1.0187377307378045
184,184,184,07-03,5.1084357173270565,0.1291894905492762,0.8235816405884783
185,185,185,07-04,4.935612108363627,-0.1364339681571015,0.207005664148686
186,186,186,07-05,5.691953555530453,1.0260347035968331,0.1057166357689907
