,mth_day,Morgan Freeman,Morgan Freeman_norm
244,09-01,2.020970461025785,-0.32277281114642625
245,09-02,2.0105155815549214,-0.3513248645918495
246,09-03,1.6647172968551631,-1.2956926245070943
247,09-04,2.210071305666551,0.19365757313536655
248,09-05,2.0079583437741215,-0.3583086265752885
249,09-06,2.8593221073475195,1.9667477020785706
250,09-07,1.963851766995363,-0.4787627495512058
251,09-08,2.494476508147348,0.9703621314249805
252,09-09,1.6845582101537728,-1.2415075123318002
253,09-10,2.0271820987863842,-0.30580896055221213
254,09-11,2.8538733406859103,1.951867236228393
255,09-12,2.1407746905156113,0.00440999119139707
256,09-13,1.265060613363481,-2.3871465258816946
257,09-14,1.5022033444857679,-1.7395147715351298
258,09-15,1.7611099591365047,-1.0324463142197695
259,09-16,2.073075190034833,-0.18047590456116322
260,09-17,2.3557694633824866,0.5915561426596256
261,09-18,1.8054791407026323,-0.9112750231555082
262,09-19,2.777595267006453,1.7435534395481598
263,09-20,2.351498995577295,0.5798935859223057
264,09-21,2.449694763433358,0.8480641391796864
265,09-22,2.306797018573933,0.45781343759796855
266,09-23,2.2044288488331785,0.17824814354615706
267,09-24,1.8678706678743435,-0.7408850896021991
268,09-25,2.4529247278494464,0.8568851032942881
269,09-26,1.5395241005333995,-1.6375925806322844
270,09-27,3.0141209300570315,2.3894999941167656
271,09-28,1.8303146816421278,-0.8434496891354775
272,09-29,2.3723711539577694,0.6368950064801865
273,09-30,2.1478426835589293,0.023712529846874032
274,10-01,1.8977815619733134,-0.6591990740633082
275,10-02,2.1611889152410977,0.06016080467837747
276,10-03,1.8893870229718612,-0.682124381513013
277,10-04,2.2854054620782405,0.39939355183573094
278,10-05,1.8437274282082017,-0.8068197635708905
279,10-06,2.365260764641188,0.6174766845042529
280,10-07,2.189855562708128,0.13844880913226007
281,10-08,2.3275574871197957,0.5145098355933196
282,10-09,1.489446467767673,-1.7743535304961298
283,10-10,2.290880375384468,0.4143454236161864
284,10-11,1.3147442460235246,-2.251461581925551
285,10-12,1.4302047248494425,-1.936141470253378
286,10-13,2.0370551647493325,-0.2788458274209407
287,10-14,1.458550939912438,-1.8587285598788823
288,10-15,2.1548236998180066,0.04277753675470431
289,10-16,1.9765794912823862,-0.4440036052593505
290,10-17,2.001119315763229,-0.3769858665976093
291,10-18,2.556793177084196,1.140547628731215
292,10-19,2.6657654509239257,1.4381485905990519
293,10-20,1.6978705721992904,-1.2051517347575371
294,10-21,2.6159576249793592,1.3021244774246363
295,10-22,2.31457577627383,0.4790570594116323
296,10-23,2.3159112574654714,0.4827042301385035
297,10-24,1.8579249092710035,-0.7680467447881092
298,10-25,2.4606988494277777,0.8781160639585723
299,10-26,2.0809697931724473,-0.15891591132128366
300,10-27,2.3092439407750573,0.46449593007987605
301,10-28,2.5766516205531267,1.1947806154287648
302,10-29,1.9212276411796645,-0.5951683304807542
303,10-30,2.520071018147698,1.0402601938059015
304,10-31,2.06391726372206,-0.20548600651979843
305,11-01,1.8701924308080717,-0.7345444044172426
306,11-02,2.2330646860127676,0.25645200576041405
307,11-03,2.301111292221715,0.4422858398731929
308,11-04,2.054776757960423,-0.23044853332384166
309,11-05,2.328191345311875,0.5162408888328623
310,11-06,2.726392124211056,1.6037187457344122
311,11-07,2.1790294448385,0.10888291151655624
312,11-08,2.240308076265198,0.27623355046303955
313,11-09,2.4098549605901827,0.7392624850617626
314,11-10,2.0030407218950153,-0.3717385473226225
315,11-11,1.8872390306498081,-0.6879905028538221
