,unnamed: 0,unnamed: 0,mth_day,oscar (best picture),oscar (best picture)_norm,oscar (best picture)_ravg,Oscar (Best Picture)_ravg
114,114,114,04-24,3.8647289300403647,0.2756104344323812,-0.14784218784127326,-0.1478421878412731
115,115,115,04-25,4.192470886143884,0.8341995536489286,0.32634973091745784,0.32634973091745795
116,116,116,04-26,3.2112304380653285,-0.8381839402078258,0.05093423837921779,0.050934238379217935
117,117,117,04-27,4.857492987290356,1.967634265991992,0.2488614334448725,0.24886143344487266
118,118,118,04-28,3.093092447300763,-1.0395331876210805,0.35473290921842554,0.3547329092184257
119,119,119,04-29,3.8751909668496114,0.2934414744248384,0.2205698774654926,0.22056987746549275
120,120,120,04-30,4.237437850123777,0.9108392890736996,0.08912034506755179,0.08912034506755194
121,121,121,05-01,3.7201646458237385,0.029221363131331127,-0.2824716454896496,-0.2824716454896495
122,122,122,05-02,2.7484767746489887,-1.6268811345954708,-0.004863111518576361,-0.004863111518576213
123,123,123,05-03,3.5493441351061628,-0.26191767735121624,-0.2795846868877136,-0.2795846868877135
124,124,124,05-04,4.070382847253272,0.6261180162053589,-0.3104245937300906,-0.31042459373009046
125,125,125,05-05,2.908063788057395,-1.3548879777899852,-0.25068815529409805,-0.2506881552940979
126,126,126,05-06,4.128869340138326,0.7257998480194375,0.13760309638958668,0.13760309638958682
127,127,127,05-07,3.930460226351291,0.3876399937472866,-0.0474387467661628,-0.04743874676616266
128,128,128,05-08,4.115413544307335,0.7028663755066376,-0.15361356894884542,-0.15361356894884529
129,129,129,05-09,2.8979246188586,-1.3721687362857131,-0.07131807689235417,-0.07131807689235403
130,130,130,05-10,3.6966060294029504,-0.01093091689073682,0.0588357130303448,0.05883571303034494
131,131,131,05-11,3.197776042921135,-0.8611150254510377,-0.01849259064012088,-0.018492590640120727
132,132,132,05-12,4.587061484267956,1.5067225875556314,-0.2807628234709138,-0.28076282347091364
133,133,133,05-13,3.658234413474685,-0.07632982827550745,-0.05540372609321857,-0.05540372609321842
134,134,134,05-14,3.1921199514469984,-0.8707550214781198,0.3307900371478734,0.33079003714787353
135,135,135,05-15,3.691276607209697,-0.0200141520195419,0.6281172741310178,0.628117274131018
136,136,136,05-16,5.056158821019864,2.306231662555815,0.6699676250324734,0.6699676250324735
137,137,137,05-17,4.244483974379428,0.9228483964478292,0.7790420464257876,0.7790420464257877
138,138,138,05-18,4.7343910551049175,1.7578246929643648,0.9416107632942122,0.9416107632942124
139,139,139,05-19,4.0422189523619805,0.5781167000843779,1.3725446888732673,1.3725446888732675
140,140,140,05-20,3.7644252911116074,0.10465727973242893,1.1490696711553063,1.1490696711553066
141,141,141,05-21,5.208332233915115,2.565589401454789,1.3401455798425,1.3401455798425002
142,142,142,05-22,4.269439528493584,0.9653815562480492,1.2074854977559708,1.207485497755971
143,143,143,05-23,4.917145756605668,2.069303848570991,1.2981412950009188,1.298141295000919
144,144,144,05-24,4.267375784264627,0.9618642004451888,1.2618875996186858,1.261887599618686
145,145,145,05-25,4.361362744810235,1.1220514835540651,0.7941327279175935,0.7941327279175937
146,146,146,05-26,3.636798132273792,-0.11286489256096888,0.7070706348877961,0.7070706348877964
147,147,147,05-27,3.561652504349857,-0.24093982875176545,0.4335110626278309,0.4335110626278311
148,148,148,05-28,3.962946977631805,0.4430089980692653,0.4975857836728712,0.4975857836728715
149,149,149,05-29,3.95410928232842,0.42794641501119945,0.4779859968566565,0.4779859968566568
150,150,150,05-30,4.4929438129603065,1.346312526715431,0.7466620557358329,0.7466620557358331
151,151,151,05-31,4.292363844731038,1.004452762656777,0.8454443682410838,0.845444368241084
152,152,152,06-01,4.582642733243636,1.499191460714089,0.855105677311658,0.8551056773116583
153,153,153,06-02,3.909404802579096,0.3517540462797405,1.0857915210331883,1.0857915210331885
154,154,154,06-03,3.9969585567089454,0.5009768524927108,1.1002462125517312,1.1002462125517314
155,155,155,06-04,4.766213497026255,1.81206147734038,1.1404085545870866,1.140408554587087
156,156,156,06-05,4.5438299692800515,1.433040675826689,0.9747087625819588,0.9747087625819592
157,157,157,06-06,4.433750965470099,1.2454268148689098,1.1507412629229132,1.1507412629229135
158,158,158,06-07,3.99931478692909,0.5049927086833225,1.080546813800091,1.0805468138000915
159,159,159,06-08,4.52910791545522,1.4079490483254669,0.7324822354123338,0.7324822354123341
160,160,160,06-09,3.749846696434373,0.07981015775577854,0.9797029573661966,0.979702957366197
161,161,161,06-10,3.5408903192549377,-0.2763259929861632,0.988334500020552,0.9883345000205525
162,162,162,06-11,5.4141434095002055,2.916365007549865,0.9895223692880872,0.9895223692880873
163,163,163,06-12,4.464137364808102,1.2972160707950429,0.7557423369189372,0.7557423369189374
164,164,164,06-13,4.003496550417967,0.5121199242885321,0.754303856888496,0.7543038568884963
165,165,165,06-14,3.7061109489471113,0.0052688541105675,0.9561133349423312,0.9561133349423314
166,166,166,06-15,3.744782685237874,0.0711792775731318,0.6052189604750665,0.6052189604750667
167,167,167,06-16,4.251338455341382,0.9345308753368468,0.4649834362862222,0.46498343628622246
168,168,168,06-17,4.178858244960088,0.8109987607462775,0.4351340987960633,0.43513409879606363
169,169,169,06-18,3.97045358080618,0.4558029256619769,0.5575298104034426,0.5575298104034428
170,170,170,06-19,3.89841523120638,0.33302389934757914,0.4711942849197056,0.4711942849197059
171,171,171,06-20,4.136991629155996,0.7396431237548433,0.5355924992071379,0.5355924992071383
172,172,172,06-21,3.440847935743093,-0.4468338753292903,0.3200341227208936,0.3200341227208939
173,173,173,06-22,4.478045306521072,1.3209201610614412,0.17253956732794487,0.17253956732794518
174,174,174,06-23,3.4200086197129558,-0.4823514981711881,0.0185359277458243,0.018535927745824594
175,175,175,06-24,3.451215173510632,-0.4291644066957153,0.1776121280399902,0.1776121280399905
176,176,176,06-25,3.3562623068404625,-0.5909979381451443,0.5073804322784972,0.5073804322784975
177,177,177,06-26,4.697001947227161,1.6941003255198386,0.37266821627248414,0.3726682162724844
178,178,178,06-27,4.601761086829768,1.5317759501017514,0.655148408829353,0.6551484088293532
179,179,179,06-28,4.003805723264157,0.5126468650253633,0.7783541359108527,0.778354135910853
180,180,180,06-29,4.4144491594671456,1.2125296571700246,1.0476931040843014,1.0476931040843016
181,181,181,06-30,3.884947424365949,0.31006995579328284,0.7486002625863728,0.7486002625863731
182,182,182,07-01,4.3044406072829595,1.025035870895548,0.5763921449418928,0.5763921449418931
183,183,183,07-02,3.6440783986992895,-0.10045672346773288,0.4651659966450302,0.4651659966450305
184,184,184,07-03,3.9955212938363047,0.4985272442348719,0.08401696905333962,0.08401696905333993
185,185,185,07-04,3.612246265781685,-0.15471002475581255,-0.013822695860978266,-0.01382269586097797
186,186,186,07-05,3.072655806473875,-1.0743645083801188,-0.40773939011948346,-0.4077393901194832
187,187,187,07-06,3.5405136136053037,-0.2769680336926245,-0.6241149980349789,-0.6241149980349786
188,188,188,07-07,2.9177000839531613,-1.338464294655483,-0.715458915380697,-0.7154589153806966
189,189,189,07-08,2.8823517998270236,-1.3987103709607056,-0.6420891670891199,-0.6420891670891196
190,190,190,07-09,3.6739550500358624,-0.049536259839435916,-0.34382569677013136,-0.34382569677013103
191,191,191,07-10,3.8705364185612168,0.2855084649936495,-0.4867847515901981,-0.4867847515901978
192,192,192,07-11,4.122659644719137,0.7152163135338124,-0.07202784601161871,-0.07202784601161842
193,193,193,07-12,3.037241938691687,-1.1347223626130247,0.2188130939845568,0.2188130939845571
194,194,194,07-13,4.3778062857970514,1.1500771388159934,-0.03357921625192082,-0.03357921625192052
195,195,195,07-14,3.906225434061348,0.3463352690163474,-0.2096226526275128,-0.20962265262751245
196,196,196,07-15,2.785435600408112,-1.5638901212583016,-0.4611612033499488,-0.4611612033499484
197,197,197,07-16,3.250794806574449,-0.7707521532599021,-0.08932522751350502,-0.08932522751350473
198,198,198,07-17,3.2371457618331787,-0.7940149908008035,-0.31772052524248057,-0.31772052524248023
199,199,199,07-18,4.346249714294848,1.0962934924056376,-0.5031311938504913,-0.5031311938504911
200,200,200,07-19,3.573765687073668,-0.22029464755785985,-0.1106680528850294,-0.11066805288502912
201,201,201,07-20,3.2535075082562797,-0.7661287426317174,-0.13783717014106905,-0.13783717014106875
202,202,202,07-21,4.167059048773426,0.7908887245344698,0.4631586252616306,0.46315862526163093
203,203,203,07-22,3.1551489087711837,-0.93376685679614,0.366377640207377,0.3663776402073773
204,204,204,07-23,5.352885551446712,2.811959781615395,0.35862825455690245,0.3586282545569028
205,205,205,07-24,4.0055428698816105,0.5156075820801151,0.2039013189116969,0.2039013189116972
206,206,206,07-25,3.546484824726232,-0.26679096146070685,-0.08980946866979488,-0.08980946866979457
207,207,207,07-26,2.7088082994204115,-1.6944903565029508,0.0552885768428632,0.0552885768428635
208,208,208,07-27,3.1330824308363434,-0.9713760009544808,-0.5521105344576028,-0.5521105344576026
209,209,209,07-28,3.665950665846017,-0.06317858372019153,-0.6564931023728713,-0.656493102372871
210,210,210,07-29,3.214603590433641,-0.8324348861874016,-0.8304315791595426,-0.8304315791595424
211,211,211,07-30,3.638075486632464,-0.11068782541149554,-0.8015725022129992,-0.8015725022129989
212,212,212,07-31,2.934153492132224,-1.3104218221807349,-0.5654096265203844,-0.5654096265203841
213,213,213,08-01,2.8104035149849533,-1.5213358948236901,-0.5665800660931655,-0.5665800660931651
214,214,214,08-02,3.9644679359506023,0.4456012532012082,-0.4738539240365801,-0.4738539240365798
215,215,215,08-03,3.661830261686098,-0.07020122115687813,-0.2712177528105344,-0.2712177528105341
216,216,216,08-04,3.5410358047472545,-0.2760780338478888,-0.1996170455277914,-0.1996170455277911
217,217,217,08-05,4.351433905372508,1.1051292019447785,0.09863011196928267,0.09863011196928302
218,218,218,08-06,3.1862159300417363,-0.8808175784842767,0.03173980018135958,0.03173980018135992
219,219,219,08-07,3.8603499257296088,0.2681470501587547,0.059149774557998684,0.059149774557999024
220,220,220,08-08,3.728987928815884,0.04425938247366951,-0.1693186609356838,-0.16931866093568348
221,221,221,08-09,3.7583240705688783,0.09425862510295648,-0.4722625801676208,-0.4722625801676205
222,222,222,08-10,2.7367377325438604,-1.6468886468099837,-0.4991891034505467,-0.4991891034505464
223,223,223,08-11,3.2849530600098444,-0.7125343134468435,-0.4952795434666108,-0.49527954346661046
224,224,224,08-12,3.091424057716792,-1.042376718181832,-0.2898302888098494,-0.2898302888098491
225,225,225,08-13,3.8741131029118248,0.2916044100623705,-0.446418594513352,-0.4464185945133517
226,226,226,08-14,4.452249499277448,1.2769549104142377,-0.09514280385703118,-0.09514280385703089
227,227,227,08-15,3.2070721125696062,-0.8452712091180591,-0.2424532413667125,-0.2424532413667122
228,228,228,08-16,3.973365630949609,0.4607660971279411,-0.2177500432313,-0.21775004323129973
229,229,229,08-17,2.766362819531083,-1.596396938504931,-0.4979690967442319,-0.4979690967442316
230,230,230,08-18,3.1783889576804896,-0.8941575293693571,-0.6927382844078643,-0.6927382844078641
231,231,231,08-19,2.8876326551943854,-1.389709911015221,-0.2916847044252418,-0.2916847044252415
232,232,232,08-20,3.766585933437464,0.1083397844324426,-0.3724382770122141,-0.3724382770122138
233,233,233,08-21,4.618937259425801,1.561050270777676,-0.0032331664987576003,-0.003233166498757304
234,234,234,08-22,3.6890815344839742,-0.02375533839389243,0.4507891470327469,0.4507891470327472
235,235,235,08-23,4.066108922278065,0.618833724575808,0.6914730950284439,0.6914730950284441
236,236,236,08-24,4.776724722188368,1.8299763518196697,1.0164928521695396,1.01649285216954
237,237,237,08-25,3.734934099549022,0.05439377695896075,0.8063887850168925,0.8063887850168928
238,238,238,08-26,4.910782345216312,2.0584583272790176,1.280576043021757,1.2805760430217572
239,239,239,08-27,3.879288932041692,0.3004258678617925,1.0752064808706672,1.0752064808706676
240,240,240,08-28,5.358405774625113,2.8213682096352946,0.7606170939514949,0.7606170939514952
241,241,241,08-29,3.3431279005432533,-0.6133836483307301,0.8304461488320767,0.830446148832077
242,242,242,08-30,3.669247284931026,-0.05755996969536437,0.4287917371162612,0.4287917371162615
243,243,243,08-31,3.980759629464683,0.4733681062424514,0.2513415773155035,0.25134157731550383
244,244,244,09-01,3.4968020361335217,-0.3514681430158748,-0.4466333594787459,-0.44663335947874566
245,245,245,09-02,3.254595104504713,-0.7642750909427536,-0.4424509009373208,-0.4424509009373205
246,246,246,09-03,2.901261552943672,-1.3664814111302022,-0.6570797448962712,-0.6570797448962709
247,247,247,09-04,3.3578517871697366,-0.5882888970821789,-0.4401951436732385,-0.44019514367323814
248,248,248,09-05,2.9136699770092043,-1.3453330334490672,-0.590753704895644,-0.5907537048956437
249,249,249,09-06,4.74427808345747,1.7746757135806477,-0.39547034841689904,-0.3954703484168987
250,250,250,09-07,2.966777132329049,-1.254819510350308,-0.2654866919720065,-0.26548669197200625
251,251,251,09-08,3.942068745272065,0.4074250479297163,-0.13641968550954708,-0.13641968550954678
252,252,252,09-09,3.3588547608223425,-0.5865794724608473,0.2730285638995463,0.27302856389954655
253,253,253,09-10,3.812218029309516,0.18611314169257787,0.11431748585111667,0.11431748585111697
254,254,254,09-11,4.3550876369812945,1.1113564630054928,-0.03584455799242895,-0.03584455799242866
255,255,255,09-12,4.1855531382113496,0.8224092452900704,-0.25367994461860505,-0.25367994461860477
256,256,256,09-13,2.4381481244728413,-2.1557917734115817,-0.2475261851750848,-0.2475261851750845
257,257,257,09-14,3.175203155535232,-0.8995872718273404,-0.2920179528413128,-0.2920179528413125
258,258,258,09-15,3.380518396092273,-0.5496569157997255,-0.4938006674800349,-0.4938006674800346
259,259,259,09-16,3.6555896404226935,-0.08083746430479008,-0.6752770231160321,-0.6752770231160318
260,260,260,09-17,3.64473371856275,-0.09933982482683996,-0.20207634166677646,-0.20207634166677613
261,261,261,09-18,3.5466855297684936,-0.2664488885259123,0.18422842504858936,0.18422842504858963
262,262,262,09-19,4.103999230042708,0.6834123152839526,0.2790699901220695,0.27906999012206984
263,263,263,09-20,4.535146722710146,1.4182413284648543,0.4334800593333415,0.4334800593333418
264,264,264,09-21,3.714397725149359,0.01939247464115557,0.5152258652029303,0.5152258652029306
