,unnamed: 0,unnamed: 0,mth_day,pixar,pixar_norm,pixar_ravg,Pixar_ravg
105,105,105,04-15,0.30262613263045385,-1.136052760808294,0.16478284104477292,0.16478284104477292
106,106,106,04-16,0.4476691609618572,-0.5107953439894598,0.12026507800451905,0.12026507800451906
107,107,107,04-17,0.8309673518210916,1.141542168851124,-0.1408072836388132,-0.1408072836388132
108,108,108,04-18,0.5801831978996131,0.06045158446423805,0.002997047064988758,0.0029970470649887393
109,109,109,04-19,0.4277827965327104,-0.5965222968525515,0.23827598323435284,0.2382759832343528
110,110,110,04-20,0.8119030346050582,1.0593589307248759,0.3804146953389895,0.38041469533898936
111,111,111,04-21,0.6300967246136907,0.27562085620789045,0.4083747545814194,0.4083747545814193
112,112,112,04-22,0.6455034803211313,0.3420369286383598,0.3965392210983536,0.39653922109835343
113,113,113,04-23,0.8698832756223364,1.3093025243057037,0.5383112493592566,0.5383112493592564
114,114,114,04-24,0.5637100311162211,-0.010561616434156929,0.26028655700268283,0.2602865570026827
115,115,115,04-25,0.6251067507172128,0.2541098727128659,0.4045909834800967,0.40459098348009664
116,116,116,04-26,0.4249371970579759,-0.6087892234145661,0.6567619712439046,0.6567619712439045
117,117,117,04-27,0.8309453714740439,1.1414474150723737,0.6534920028197145,0.6534920028197143
118,118,118,04-28,0.9964851023417614,1.8550628552212065,0.9025837590909954,0.9025837590909954
119,119,119,04-29,0.8653320033619705,1.289682713760563,1.0329779373667043,1.0329779373667043
120,120,120,04-30,0.9104058561329694,1.483988921193529,1.3428856139910783,1.3428856139910783
121,121,121,05-01,0.8065945602352589,1.0364749423671185,1.3902568194261191,1.390256819426119
122,122,122,05-02,0.8562790416644114,1.250656836331678,1.080494228631227,1.0804942286312267
123,123,123,05-03,0.8968785014827821,1.4256746476826176,1.8720285552008635,1.8720285552008633
124,124,124,05-04,0.5653451939700027,-0.003512689548146431,2.374304940481865,2.3743049404818652
125,125,125,05-05,1.9670209973576973,6.0388886731783815,2.3506997762360498,2.3506997762360498
126,126,126,05-06,1.6094941294188092,4.497647232879541,2.506329760759124,2.5063297607591237
127,127,127,05-07,0.7737399526988054,0.8948439568922252,2.255074356615208,2.2550743566152076
128,128,128,05-08,1.0728910511875531,2.1844367434701213,2.3784509716629736,2.3784509716629736
129,129,129,05-09,0.5471712252021393,-0.08185777718087701,1.2908843217715649,1.2908843217715649
130,130,130,05-10,0.7370656795535334,0.7367470007384471,0.4872525134200467,0.4872525134200467
131,131,131,05-11,0.4533024279877829,-0.4865112261700691,0.09235711303732937,0.09235711303732935
132,132,132,05-12,0.4909673785668224,-0.3241436172295682,-0.37695530415070455,-0.37695530415070455
133,133,133,05-13,0.2241088100210009,-1.474528445404079,-0.20981138675124125,-0.20981138675124125
134,134,134,05-14,0.4196833412928632,-0.631437759658082,-0.3461111941604028,-0.34611119416040276
135,135,135,05-15,0.7798087849784171,0.9210057272159026,-0.3846651682755948,-0.38466516827559477
136,136,136,05-16,0.5473581802500272,-0.08105184371652226,-0.3748058706130944,-0.37480587061309434
137,137,137,05-17,0.3996414716252463,-0.7178350708612207,-0.17465517630609775,-0.17465517630609775
138,138,138,05-18,0.5046899416429911,-0.26498783125456565,0.03968769105556685,0.039687691055566854
139,139,139,05-19,0.5026865162011538,-0.2736242795620994,0.04473978878136151,0.04473978878136151
140,140,140,05-20,0.7180142790517036,0.6546194445119057,0.2301167993813288,0.23011679938132878
141,141,141,05-21,0.7868404957637474,0.9513183135706706,0.5015787831037214,0.5015787831037214
142,142,142,05-22,0.8053732851702381,1.0312102198832815,0.36131470332896093,0.36131470332896104
143,143,143,05-23,0.7774730699733645,0.9109368314731352,0.4130133202982049,0.4130133202982049
144,144,144,05-24,0.3094648102068279,-1.106572309903128,0.5062250725311349,0.5062250725311349
145,145,145,05-25,0.5746427098973294,0.03656742225336351,0.1934717201591576,0.19347172015915756
146,146,146,05-26,0.8477501074283662,1.2138899579094855,-0.16736771777184534,-0.16736771777184534
147,147,147,05-27,0.35153792633922115,-0.9252018006611932,-0.4506169321248233,-0.4506169321248233
148,148,148,05-28,0.3031425871144456,-1.1338264077027358,-0.42061602912125307,-0.42061602912125307
149,149,149,05-29,0.3832355346753183,-0.7885584546447326,-0.4766601464728358,-0.4766601464728358
150,150,150,05-30,0.3512212616196258,-0.9265668918817064,-0.7560706694273779,-0.7560706694273779
151,151,151,05-31,0.4966382757345974,-0.2996972818561328,-0.6680037278585526,-0.6680037278585526
152,152,152,06-01,0.4588554156723439,-0.4625731798177671,-0.2247186532376764,-0.2247186532376764
153,153,153,06-02,0.4741130023712573,-0.3968001512482408,0.491375237958632,0.491375237958632
154,154,154,06-03,0.920124405235797,1.5258840400225209,0.8737383116069505,0.8737383116069505
155,155,155,06-04,1.3799235267394765,3.508004892533118,1.0494256419137782,1.0494256419137782
156,156,156,06-05,0.8834094129210721,1.3676115500082042,1.1702254903992688,1.1702254903992688
157,157,157,06-06,0.7411668977873462,0.7544266999848319,1.3865490909087892,1.3865490909087892
158,158,158,06-07,0.6269894549496768,0.2622259110951774,1.165971848910951,1.165971848910951
159,159,159,06-08,0.7752008033965238,0.9011414518088812,0.7160754481120782,0.7160754481120782
160,160,160,06-09,0.6131162166104217,0.202420588035492,0.4720734721389836,0.4720734721389836
161,161,161,06-10,0.7537398015857661,0.8086264877398819,0.36933443191534615,0.36933443191534615
162,162,162,06-11,0.5437977467943991,-0.09640030583036406,0.4369656183393043,0.4369656183393043
163,163,163,06-12,0.5981706106160811,0.13799245864300733,0.2789986255531781,0.2789986255531781
