,unnamed: 0,unnamed: 0,unnamed: 0.1,mth_day,spy,spy_norm,spy_ravg
352,352,352,352,12-18,2.193676745994852,0.332348689232483,0.5184813499114488
353,353,353,353,12-19,2.6267829232694258,1.5422285682701429,0.4243540535937163
354,354,354,354,12-20,1.7606520668128245,-0.8773035253027369,0.3251997463639373
355,355,355,355,12-21,1.9711361477924247,-0.28931732746675964,-0.04398158016463727
356,356,356,356,12-22,1.9629963493170808,-0.31205581265002713,-0.18942494702005677
357,357,357,357,12-23,1.838516341964544,-0.6597900730709222,-0.43687460021051905
358,358,358,358,12-24,1.881286623371446,-0.540311511900034,-0.26863845510580703
359,359,359,359,12-25,2.0952988881113983,0.057530649127369014,-0.2000397537473156
360,360,360,360,12-26,2.1219975934960287,0.13211334532553526,-0.17636847031830394
361,361,361,361,12-27,2.1184756737708623,0.12227488068418882,-0.12286993682445163
362,362,362,362,12-28,2.013838648233285,-0.17002811207595733,-0.05109798472418734
363,363,363,363,12-29,1.9534230152604808,-0.3387988721078084,
364,364,364,364,12-30,2.0354418069475426,-0.10967979929844827,
365,365,365,365,12-31,,,
