,unnamed: 0,unnamed: 0,mth_day,emotional,emotional_norm,emotional_ravg
161,161,161,06-10,6.5614636153331425,0.9265058535484324,1.2251678288812144
162,162,162,06-11,8.274634450388477,3.3935399044472114,1.1999649179117957
163,163,163,06-12,6.440901362003574,0.7528914199315256,1.0541075899173127
164,164,164,06-13,6.4495220926442025,0.7653056144758614,1.1131245098476734
165,165,165,06-14,6.14984310819935,0.3337559734032355,1.1859235143570588
166,166,166,06-15,6.26997335001465,0.5067482932797756,0.7957125287809163
167,167,167,06-16,6.864784434033084,1.3632998806047452,0.7922392625309852
168,168,168,06-17,6.648800190588862,1.0522739909903558,0.8638979232558578
169,169,169,06-18,6.426429818476407,0.7320518224319401,1.0778401431238727
170,170,170,06-19,6.748091609967855,1.195257578825098,0.9018536355595085
171,171,171,06-20,7.041244436035948,1.6174092926113242,0.9947454800755003
172,172,172,06-21,5.536716461210848,-0.5491707521064089,0.7232365116544809
173,173,173,06-22,7.2518231101664306,1.9206509477006968,0.6888801027652685
174,174,174,06-23,5.517544026567797,-0.5767798195357607,0.469056548589254
175,175,175,06-24,6.2832820633375,0.5259133690966661,0.22466614451889388
176,176,176,06-25,5.832185398453617,-0.12368374623098916,0.4625773310282542
177,177,177,06-26,6.022979173418603,0.1510668681891636,0.38798707940725663
178,178,178,06-27,6.527985728644162,0.8782963669497532,0.6402141416541032
179,179,179,06-28,6.9410389677019735,1.4731094379747112,0.49326946062918836
180,180,180,06-29,6.568461130923676,0.9365825539453184,0.6400812577216617
181,181,181,06-30,5.671029447351079,-0.3557547170528225,0.8931818154473959
182,182,182,07-01,6.4438843466604885,0.7571870363238505,0.7811085452839291
183,183,183,07-02,7.077535741879418,1.6696702145435685,0.45036817463649004
184,184,184,07-03,6.061026650158692,0.20585674596895265,0.14132545513726863
185,185,185,07-04,5.562992101841756,-0.5113327859099236,0.2554836270182767
186,186,186,07-05,5.280818651146712,-0.91767376305001,0.1029014515006066
187,187,187,07-06,6.146675376709516,0.32919431423322565,-0.3411451599882367
188,188,188,07-07,5.808142818202216,-0.15830601678216982,-0.3661703635836628
189,189,189,07-08,5.227392561413738,-0.9946094543894912,-0.2911127041004737
190,190,190,07-09,5.9567578446461305,0.05570552439639639,-0.0710779991300106
191,191,191,07-10,5.875723723346376,-0.06098682901078895,-0.31742068554990044
192,192,192,07-11,6.197604633370355,0.4025344667727684,-0.14622174989873454
193,193,193,07-12,5.120275828677372,-1.1488618042861134,-0.13571801572375894
194,194,194,07-13,6.5214520409344425,0.8688875971248256,-0.3346980945011733
195,195,195,07-14,5.271156913286839,-0.9315870493396374,-0.4677248010707977
196,196,196,07-15,5.1276970517617615,-1.1381749482680903,-0.6453225229050218
197,197,197,07-16,5.321461068003979,-0.8591470684285354,-0.28745189000556975
198,198,198,07-17,5.457634536951579,-0.6630518642325762,-0.5898572018898062
199,199,199,07-18,6.6113623358525135,0.9983619931105993,-0.5547064508454399
200,200,200,07-19,5.2614646633857385,-0.9455442741805926,0.02245814421575465
201,201,201,07-20,5.4176143361121785,-0.7206825430734403,-0.03819796618159984
202,202,202,07-21,7.532483197924111,2.324812622099077,0.25155147051638893
203,203,203,07-22,5.068734245860312,-1.2230837308126623,0.15058349034892773
204,204,204,07-23,6.66489055575812,1.0754447559553564,0.2943871984416586
205,205,205,07-24,6.190674022691237,0.3925541121058321,0.20960683084601406
206,206,206,07-25,5.860630253145291,-0.0827220256242072,-0.3301582020101206
