,unnamed: 0,unnamed: 0,mth_day,fairy tale,fairy tale_norm,fairy tale_ravg
203,203,203,07-22,1.6040073768156882,-0.2252399993739585,-0.3037057156708131
204,204,204,07-23,1.3467990573553263,-1.0016645623489076,-0.17077259983468193
205,205,205,07-24,1.6418575257173311,-0.11098325456433368,-0.08605983863434485
206,206,206,07-25,1.565662772889718,-0.3409893359744688,-0.19407363694576427
207,207,207,07-26,1.8741656994354885,0.5902762250398061,-0.18221034577742148
208,208,208,07-27,1.6534992328672755,-0.07584089445272424,-0.1754227234019866
209,209,209,07-28,1.6275872891228431,-0.1540602523639019,-0.1761816619975802
210,210,210,07-29,1.3602903843501433,-0.9609388280962984,-0.23367339408204998
211,211,211,07-30,1.6403490315501843,-0.1155368861378952,-0.20432047814844392
212,212,212,07-31,1.4513900991686346,-0.6859397284812875,-0.4833255909090018
213,213,213,08-01,1.9325086309080544,0.7663937206414423,-0.5635237342222247
214,214,214,08-02,1.098938445410783,-1.7498715710160715,-0.6057388394507163
215,215,215,08-03,1.4681825202701024,-0.6352491122432394,-0.738270143055646
216,216,216,08-04,1.2763820940452193,-1.2142294594672471,-0.611186741636487
217,217,217,08-05,1.3769249553295446,-0.9107247077674736,-0.8683305794814732
218,218,218,08-06,1.7039857253432005,0.07656068003366658,-0.774343233002603
219,219,219,08-07,1.4214001146735111,-0.7764693064284742,-0.7387175503645523
220,220,220,08-08,1.2857511398397887,-1.1859474921428508,-0.7546098061403543
221,221,221,08-09,1.538993432736741,-0.4214950164149356,-0.7501142801469175
222,222,222,08-10,1.2447940640256678,-1.3095829941220596,-0.9677326585342327
223,223,223,08-11,1.3858604275518438,-0.8837515518068529,-0.6396046650480626
224,224,224,08-12,1.2714394609059445,-1.2291495902902252,-0.4834693388085807
225,225,225,08-13,2.073599340177932,1.1922986544885468,-0.5388563082977513
226,226,226,08-14,1.5960914365190544,-0.2491355347059596,-0.43025761235090676
227,227,227,08-15,1.428904262288086,-0.7538168333499594,-0.3370863159032289
228,228,228,08-16,1.4606488121525063,-0.6579908184409919,-0.09662575998474938
229,229,229,08-17,1.5710511110312144,-0.3247237731207858,-0.33189350043034654
230,230,230,08-18,1.7493876745532655,0.21361374522065185,-0.41582385357367774
231,231,231,08-19,1.6059725568774064,-0.2193077881850364,-0.1612663539197566
232,232,232,08-20,1.429268390625226,-0.7527176535659466,-0.25887349305239044
233,233,233,08-21,1.9348720779466635,0.7735281645735672,-0.1909536710257375
234,234,234,08-22,1.2666412851821227,-1.2436336532367949,-0.33704229714110817
235,235,235,08-23,1.706051038503261,0.08279515903913165,-0.2293241185608336
236,236,236,08-24,1.4590165672449054,-0.662918011471572,0.2320723009860499
237,237,237,08-25,1.8200771564161318,0.4270012832966107,0.18076539313108533
238,238,238,08-26,2.346356823958402,2.0156608637153544,0.23400402023845845
239,239,239,08-27,1.8328925875334352,0.4656867174437799,0.1675298083792963
240,240,240,08-28,1.3724603315775377,-0.9242018905925562,0.30113448249795155
241,241,241,08-29,1.5739244587806758,-0.31605011211584155,0.287328845731301
242,242,242,08-30,1.7245741140368709,0.13871003324035952,0.10751581101860193
243,243,243,08-31,1.7926365668122328,0.3441674626967077,0.10681910173710084
244,244,244,09-01,1.9889538461470475,0.9367826554391596,0.1598866603822959
245,245,245,09-02,1.8315077826316373,0.4615064617547732,0.17961871085009537
246,246,246,09-03,1.4779393560279932,-0.6057965387213858,0.38123708776675125
247,247,247,09-04,1.6131446054557117,-0.19765780930904464,0.29456070585602107
248,248,248,09-05,2.1253181891626762,1.3484202947402946,0.12811263849927282
249,249,249,09-06,1.6203554135003737,-0.17589082876767367,0.006200945149394714
250,250,250,09-07,1.6581155672686734,-0.06190574870132973,-0.15531994618082953
251,251,251,09-08,1.5891916329548978,-0.26996369834449546,-0.28909088103494457
252,252,252,09-09,1.156894512797341,-1.5749218867027313,-0.7969209125674315
253,253,253,09-10,1.347256592732612,-1.0002834184337346,-0.856543579434686
254,254,254,09-11,1.115936606888949,-1.6985598944546272,-1.0596839583771187
255,255,255,09-12,1.5018472157078238,-0.5336268299712009,-1.034663290529262
256,256,256,09-13,1.2543463051361718,-1.2807480223559258,-0.8867372943011961
257,257,257,09-14,1.6389236293585,-0.1198396912573559,-0.7791072536410352
258,258,258,09-15,1.4509176442799672,-0.6873659093343354,-0.5533906283707507
259,259,259,09-16,1.5611860061111291,-0.3545031744727691,-0.4202253058158265
260,260,260,09-17,1.5645792436256278,-0.3442601428329201,-0.21037121091559297
261,261,261,09-18,1.7665314912298038,0.26536510535834384,0.3409761205862487
262,262,262,09-19,1.6714599951591849,-0.02162345295452432,0.6028888816157139
